xflr5 v6.49

 Calculated polar for: NACA 3420

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.1184, 0.01387, 0.00531,-0.0732,0.6435,0.3373,-0.9282, 0.0000, 0.8844
 -1.000, 0.2192, 0.01356, 0.00512,-0.0709,0.6060,0.4146,-0.8522, 0.0000, 0.5757
  0.000, 0.3179, 0.01333, 0.00518,-0.0681,0.5715,0.5321,-0.9412, 0.0000, 0.4613
  1.000, 0.4169, 0.01332, 0.00545,-0.0651,0.5416,0.6532,-1.0374, 0.0000, 0.4003
  2.000, 0.5162, 0.01355, 0.00589,-0.0619,0.5140,0.7635,-1.1423, 0.0000, 0.3620
  3.000, 0.6179, 0.01401, 0.00655,-0.0590,0.4888,0.8665,-1.2591, 0.0000, 0.3360
  4.000, 0.7417, 0.01484, 0.00737,-0.0610,0.4639,0.9403,-1.4051, 0.0000, 0.3216
  5.000, 0.8914, 0.01588, 0.00831,-0.0693,0.4376,0.9882,-1.5901, 0.0000, 0.3160
  6.000, 0.9879, 0.01671, 0.00901,-0.0676,0.4127,1.0000,-1.7553, 0.0000, 0.3053
  7.000, 1.0350, 0.01751, 0.00971,-0.0559,0.3885,1.0000,-1.8942, 0.0000, 0.2892
  8.000, 1.0919, 0.01865, 0.01086,-0.0466,0.3630,1.0000,-2.0641, 0.0000, 0.2764
  9.000, 1.1533, 0.02033, 0.01253,-0.0393,0.3356,1.0000,-2.2638, 0.0000, 0.2662
 10.000, 1.2101, 0.02264, 0.01484,-0.0325,0.3069,1.0000,-2.4805, 0.0000, 0.2573
 11.000, 1.2584, 0.02583, 0.01805,-0.0260,0.2779,1.0000,-2.7057, 0.0000, 0.2492
 12.000, 1.2965, 0.03018, 0.02242,-0.0200,0.2491,1.0000,-2.9326, 0.0000, 0.2419
 13.000, 1.3254, 0.03586, 0.02820,-0.0149,0.2220,1.0000,-3.1567, 0.0000, 0.2357
 14.000, 1.3443, 0.04323, 0.03571,-0.0112,0.1964,1.0000,-3.3685, 0.0000, 0.2305
 15.000, 1.3526, 0.05249, 0.04512,-0.0089,0.1731,1.0000,-3.5623, 0.0000, 0.2264


