xflr5 v6.49

 Calculated polar for: Aerofoil1798

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.3672, 0.02443, 0.01692,-0.1402,0.7327,0.0711,-1.4884, 0.0000, 0.6333
 -1.000, 0.4753, 0.02108, 0.01296,-0.1403,0.7074,0.0812,-1.2474, 0.0000, 0.5449
  0.000, 0.5857, 0.01887, 0.01023,-0.1399,0.6835,0.0904,-0.9702, 0.0000, 0.4872
  1.000, 0.6918, 0.01766, 0.00877,-0.1382,0.6601,0.1032,-0.8847, 0.0000, 0.4470
  2.000, 0.7959, 0.01712, 0.00820,-0.1360,0.6375,0.1178,-0.9931, 0.0000, 0.4170
  3.000, 0.9031, 0.01689, 0.00795,-0.1343,0.6153,0.1341,-1.1674, 0.0000, 0.3938
  4.000, 1.0004, 0.01670, 0.00784,-0.1304,0.5801,0.1520,-1.3620, 0.0000, 0.3743
  5.000, 1.0929, 0.01682, 0.00810,-0.1258,0.5427,0.1765,-1.5800, 0.0000, 0.3579
  6.000, 1.1807, 0.01721, 0.00867,-0.1205,0.5010,0.2188,-1.8182, 0.0000, 0.3436
  7.000, 1.2459, 0.01676, 0.00951,-0.1107,0.4416,1.0000,-2.0619, 0.0000, 0.3292
  8.000, 1.2866, 0.01857, 0.01082,-0.0975,0.3458,1.0000,-2.4504, 0.0000, 0.3147
  9.000, 1.3031, 0.02194, 0.01368,-0.0825,0.2553,1.0000,-2.8002, 0.0000, 0.3009
 10.000, 1.3229, 0.02618, 0.01768,-0.0707,0.2006,1.0000,-3.1661, 0.0000, 0.2896
 11.000, 1.3505, 0.03096, 0.02251,-0.0622,0.1681,1.0000,-3.5636, 0.0000, 0.2805
 12.000, 1.3761, 0.03672, 0.02831,-0.0555,0.1409,1.0000,-3.9643, 0.0000, 0.2731
 13.000, 1.3996, 0.04346, 0.03516,-0.0506,0.1168,1.0000,-4.3658, 0.0000, 0.2672
 14.000, 1.4207, 0.05130, 0.04315,-0.0474,0.0968,1.0000,-4.7613, 0.0000, 0.2625
 15.000, 1.4383, 0.06044, 0.05256,-0.0458,0.0796,1.0000,-5.1654, 0.0000, 0.2590


