xflr5 v6.49

 Calculated polar for: Aerofoil1269

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.3580, 0.01538, 0.00678,-0.1406,0.8075,0.0701,-1.5802, 0.0000, 0.6451
 -1.000, 0.4922, 0.01412, 0.00539,-0.1454,0.7844,0.1206,-0.9179, 0.0000, 0.5460
  0.000, 0.6138, 0.01349, 0.00478,-0.1476,0.7562,0.2159,-0.7789, 0.0000, 0.4898
  1.000, 0.7351, 0.01210, 0.00494,-0.1499,0.7288,1.0000,-0.8529, 0.0000, 0.4521
  2.000, 0.8345, 0.01267, 0.00518,-0.1474,0.7016,1.0000,-0.9198, 0.0000, 0.4238
  3.000, 0.9363, 0.01334, 0.00570,-0.1455,0.6767,1.0000,-0.9977, 0.0000, 0.4015
  4.000, 1.0410, 0.01407, 0.00638,-0.1442,0.6512,1.0000,-1.1650, 0.0000, 0.3835
  5.000, 1.1311, 0.01478, 0.00721,-0.1398,0.6170,1.0000,-1.6247, 0.0000, 0.3674
  6.000, 1.1928, 0.01544, 0.00807,-0.1293,0.5607,1.0000,-2.2793, 0.0000, 0.3510
  7.000, 1.2065, 0.01688, 0.00890,-0.1095,0.4132,1.0000,-2.7611, 0.0000, 0.3322
  8.000, 1.1699, 0.02224, 0.01278,-0.0856,0.1723,1.0000,-3.0216, 0.0000, 0.3132
  9.000, 1.1508, 0.02926, 0.01882,-0.0692,0.0201,1.0000,-3.3129, 0.0000, 0.2989
 10.000, 1.1785, 0.03450, 0.02456,-0.0605,0.0165,1.0000,-3.8060, 0.0000, 0.2886
 11.000, 1.1949, 0.04138, 0.03200,-0.0529,0.0147,1.0000,-4.2526, 0.0000, 0.2800
 12.000, 1.2040, 0.04992, 0.04100,-0.0472,0.0135,1.0000,-4.6696, 0.0000, 0.2732
 13.000, 1.2220, 0.05891, 0.05035,-0.0433,0.0129,1.0000,-5.1028, 0.0000, 0.2678
 14.000, 1.2696, 0.06657, 0.05835,-0.0405,0.0124,1.0000,-5.6547, 0.0000, 0.2625
 15.000, 1.3156, 0.07618, 0.06861,-0.0388,0.0122,1.0000,-6.2211, 0.0000, 0.2583


