xflr5 v6.49

 Calculated polar for: NACA 5014

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.103 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.2457, 0.01421, 0.00674,-0.0326,0.7487,0.8863,-0.6573, 0.0000, 0.3877
 -1.000, 0.3941, 0.01441, 0.00672,-0.0382,0.6798,0.9574,-0.8391, 0.0000, 0.3479
  0.000, 0.5526, 0.01475, 0.00678,-0.0478,0.5943,1.0001,-1.1031, 0.0000, 0.3347
  1.000, 0.6344, 0.01541, 0.00708,-0.0425,0.5130,1.0001,-1.3494, 0.0000, 0.3133
  2.000, 0.7144, 0.01646, 0.00782,-0.0369,0.4277,1.0001,-1.6470, 0.0000, 0.2961
  3.000, 0.7914, 0.01792, 0.00894,-0.0311,0.3391,1.0001,-1.9883, 0.0000, 0.2818
  4.000, 0.8666, 0.01983, 0.01058,-0.0256,0.2524,1.0001,-2.3720, 0.0000, 0.2702
  5.000, 0.9369, 0.02234, 0.01281,-0.0201,0.1795,1.0001,-2.7862, 0.0000, 0.2602
  6.000, 1.0003, 0.02539, 0.01576,-0.0142,0.1307,1.0001,-3.2128, 0.0000, 0.2510
  7.000, 1.0506, 0.02896, 0.01939,-0.0070,0.1010,1.0001,-3.6401, 0.0000, 0.2415
  8.000, 1.0901, 0.03358, 0.02411,-0.0002,0.0828,1.0001,-4.0469, 0.0000, 0.2329
  9.000, 1.1255, 0.03915, 0.02998, 0.0049,0.0703,1.0001,-4.4502, 0.0000, 0.2261
 10.000, 1.1526, 0.04615, 0.03746, 0.0084,0.0611,1.0001,-4.8399, 0.0000, 0.2209
 11.000, 1.1657, 0.05544, 0.04724, 0.0102,0.0552,1.0001,-5.1551, 0.0000, 0.2172
 12.000, 1.1603, 0.06746, 0.05978, 0.0089,0.0503,1.0001,-5.3805, 0.0000, 0.2158
 13.000, 1.1282, 0.08483, 0.07779, 0.0036,0.0472,1.0001,-5.4159, 0.0000, 0.2180
 14.000, 0.9935, 0.12607, 0.12013,-0.0176,0.0465,1.0001,-4.6239, 0.0000, 0.2383
 15.000, 0.8297, 0.19342, 0.18771,-0.0495,0.0420,1.0001,-2.7144, 0.0000, 0.2857


