xflr5 v6.49

 Calculated polar for: NACA 6024

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.2927, 0.01476, 0.00637,-0.0265,0.5088,0.5743,-1.0956, 0.0000, 0.3489
 -1.000, 0.3852, 0.01502, 0.00668,-0.0226,0.4742,0.6264,-1.2189, 0.0000, 0.3098
  0.000, 0.4746, 0.01540, 0.00719,-0.0184,0.4413,0.6834,-1.3521, 0.0000, 0.2848
  1.000, 0.5591, 0.01590, 0.00787,-0.0135,0.4097,0.7464,-1.4945, 0.0000, 0.2662
  2.000, 0.6357, 0.01665, 0.00883,-0.0072,0.3794,0.8160,-1.6434, 0.0000, 0.2500
  3.000, 0.7160, 0.01787, 0.01017,-0.0022,0.3498,0.8878,-1.8114, 0.0000, 0.2386
  4.000, 0.8106, 0.01956, 0.01188,-0.0013,0.3203,0.9487,-2.0114, 0.0000, 0.2344
  5.000, 0.9246, 0.02177, 0.01401,-0.0062,0.2903,0.9885,-2.2527, 0.0000, 0.2370
  6.000, 0.9851, 0.02391, 0.01610,-0.0022,0.2661,1.0002,-2.4450, 0.0000, 0.2296
  7.000, 1.0163, 0.02652, 0.01865, 0.0064,0.2444,1.0002,-2.6152, 0.0000, 0.2180
  8.000, 1.0573, 0.03011, 0.02224, 0.0114,0.2240,1.0002,-2.8011, 0.0000, 0.2105
  9.000, 1.0944, 0.03479, 0.02697, 0.0149,0.2048,1.0002,-2.9971, 0.0000, 0.2046
 10.000, 1.1246, 0.04079, 0.03300, 0.0172,0.1870,1.0002,-3.1792, 0.0000, 0.1997
 11.000, 1.1474, 0.04817, 0.04046, 0.0183,0.1704,1.0002,-3.3556, 0.0000, 0.1959
 12.000, 1.1701, 0.05633, 0.04885, 0.0180,0.1565,1.0002,-3.5381, 0.0000, 0.1932
 13.000, 1.1784, 0.06646, 0.05914, 0.0168,0.1433,1.0002,-3.6842, 0.0000, 0.1910
 14.000, 1.1784, 0.07811, 0.07089, 0.0145,0.1315,1.0002,-3.8035, 0.0000, 0.1896
 15.000, 1.1792, 0.09026, 0.08339, 0.0112,0.1216,1.0002,-3.9308, 0.0000, 0.1891


