xflr5 v6.49

 Calculated polar for: Aerofoil1061

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4291, 0.01558, 0.00674,-0.1389,0.7173,0.0631,-1.6643, 0.0000, 0.5759
 -1.000, 0.5351, 0.01472, 0.00573,-0.1374,0.6934,0.1014,-1.0757, 0.0000, 0.5071
  0.000, 0.6387, 0.01435, 0.00546,-0.1356,0.6706,0.1744,-0.8485, 0.0000, 0.4612
  1.000, 0.7450, 0.01410, 0.00550,-0.1343,0.6504,0.3519,-0.9226, 0.0000, 0.4280
  3.000, 0.9579, 0.01416, 0.00635,-0.1317,0.6088,1.0000,-1.1777, 0.0000, 0.3828
  4.000, 1.0576, 0.01482, 0.00684,-0.1290,0.5827,1.0000,-1.3727, 0.0000, 0.3660
  5.000, 1.1488, 0.01539, 0.00732,-0.1246,0.5444,1.0000,-1.5877, 0.0000, 0.3512
  6.000, 1.2352, 0.01616, 0.00818,-0.1197,0.5075,1.0000,-1.8222, 0.0000, 0.3382
  7.000, 1.3088, 0.01713, 0.00932,-0.1126,0.4588,1.0000,-2.0649, 0.0000, 0.3259
  8.000, 1.3541, 0.01861, 0.01068,-0.1005,0.3799,1.0000,-2.2877, 0.0000, 0.3126
  9.000, 1.3607, 0.02182, 0.01347,-0.0839,0.2836,1.0000,-2.5098, 0.0000, 0.2986
 10.000, 1.3686, 0.02638, 0.01785,-0.0710,0.2196,1.0000,-2.8593, 0.0000, 0.2872
 11.000, 1.3799, 0.03206, 0.02353,-0.0615,0.1799,1.0000,-3.2251, 0.0000, 0.2782
 12.000, 1.3999, 0.03826, 0.02991,-0.0550,0.1539,1.0000,-3.6374, 0.0000, 0.2710
 13.000, 1.4224, 0.04509, 0.03701,-0.0504,0.1325,1.0000,-4.0900, 0.0000, 0.2653
 14.000, 1.4377, 0.05337, 0.04554,-0.0473,0.1102,1.0000,-4.5244, 0.0000, 0.2607
 15.000, 1.4513, 0.06286, 0.05538,-0.0461,0.0913,1.0000,-4.9533, 0.0000, 0.2574


