xflr5 v6.49

 Calculated polar for: Aerofoil5018

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4920, 0.00840, 0.00253,-0.1540,0.7022,0.0228,-2.2482, 0.0000, 0.5655
 -1.000, 0.5723, 0.00845, 0.00247,-0.1470,0.6690,0.0328,-1.6112, 0.0000, 0.5070
  0.000, 0.6576, 0.00854, 0.00251,-0.1412,0.6375,0.0528,-1.0279, 0.0000, 0.4630
  1.000, 0.7364, 0.00883, 0.00273,-0.1342,0.5963,0.0868,-0.9377, 0.0000, 0.4288
  2.000, 0.7991, 0.00947, 0.00322,-0.1242,0.5381,0.1329,-1.0485, 0.0000, 0.4004
  3.000, 0.8774, 0.00993, 0.00376,-0.1177,0.4996,0.2242,-1.1915, 0.0000, 0.3777
  4.000, 0.9425, 0.01057, 0.00464,-0.1090,0.4495,0.4227,-1.3386, 0.0000, 0.3577
  6.000, 1.1778, 0.01438, 0.00852,-0.1171,0.2547,1.0000,-1.7971, 0.0000, 0.3384
  7.000, 1.2364, 0.01643, 0.01031,-0.1088,0.2047,1.0000,-1.9955, 0.0000, 0.3253
  8.000, 1.2971, 0.01846, 0.01221,-0.1014,0.1740,1.0000,-2.2034, 0.0000, 0.3138
  9.000, 1.3581, 0.02063, 0.01431,-0.0946,0.1518,1.0000,-2.4375, 0.0000, 0.3035
 10.000, 1.4131, 0.02326, 0.01691,-0.0876,0.1342,1.0000,-2.6684, 0.0000, 0.2940
 11.000, 1.4675, 0.02604, 0.01977,-0.0811,0.1236,1.0000,-2.9174, 0.0000, 0.2854
 12.000, 1.5126, 0.02963, 0.02340,-0.0743,0.1093,1.0000,-3.1625, 0.0000, 0.2772
 13.000, 1.5583, 0.03341, 0.02730,-0.0683,0.1018,1.0000,-3.4136, 0.0000, 0.2699
 14.000, 1.5938, 0.03813, 0.03213,-0.0622,0.0918,1.0000,-3.6621, 0.0000, 0.2629
 15.000, 1.6293, 0.04314, 0.03730,-0.0571,0.0854,1.0000,-3.9219, 0.0000, 0.2566


