xflr5 v6.49

 Calculated polar for: Aerofoil1757

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.103 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.3497, 0.02080, 0.01164,-0.1066,0.6840,0.0584,-1.9371, 0.0000, 0.5577
 -1.000, 0.4601, 0.01907, 0.00971,-0.1058,0.6620,0.0872,-1.3793, 0.0000, 0.4806
  0.000, 0.5695, 0.01837, 0.00895,-0.1047,0.6431,0.1476,-0.8621, 0.0000, 0.4328
  1.000, 0.6779, 0.01798, 0.00887,-0.1035,0.6231,0.2840,-0.9549, 0.0000, 0.4002
  2.000, 0.7833, 0.01718, 0.00927,-0.1016,0.6020,1.0000,-1.1237, 0.0000, 0.3759
  3.000, 0.8922, 0.01772, 0.00930,-0.0998,0.5783,1.0000,-1.3271, 0.0000, 0.3567
  4.000, 0.9963, 0.01805, 0.00936,-0.0973,0.5422,1.0000,-1.5538, 0.0000, 0.3412
  5.000, 1.0958, 0.01870, 0.00997,-0.0947,0.5039,1.0000,-1.7997, 0.0000, 0.3285
  6.000, 1.1867, 0.01965, 0.01103,-0.0911,0.4525,1.0000,-2.0639, 0.0000, 0.3174
  7.000, 1.2648, 0.02101, 0.01219,-0.0857,0.3750,1.0000,-2.3243, 0.0000, 0.3068
  8.000, 1.3057, 0.02401, 0.01470,-0.0760,0.2861,1.0000,-2.5470, 0.0000, 0.2957
  9.000, 1.3146, 0.02866, 0.01907,-0.0646,0.2292,1.0000,-2.7099, 0.0000, 0.2850
 10.000, 1.3399, 0.03403, 0.02445,-0.0578,0.1931,1.0000,-2.9022, 0.0000, 0.2773
 11.000, 1.3706, 0.04001, 0.03049,-0.0532,0.1672,1.0000,-3.1179, 0.0000, 0.2711
 12.000, 1.4072, 0.04631, 0.03690,-0.0499,0.1487,1.0000,-3.3446, 0.0000, 0.2659
 13.000, 1.4409, 0.05341, 0.04427,-0.0478,0.1334,1.0000,-3.5798, 0.0000, 0.2616
 14.000, 1.4755, 0.06132, 0.05264,-0.0467,0.1217,1.0000,-3.8198, 0.0000, 0.2580
 15.000, 1.5031, 0.07043, 0.06208,-0.0467,0.1119,1.0000,-4.1386, 0.0000, 0.2552


