xflr5 v6.49

 Calculated polar for: Aerofoil5029

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4841, 0.01006, 0.00313,-0.1604,0.6486,0.0477,-1.7977, 0.0000, 0.5831
 -1.000, 0.5910, 0.00975, 0.00267,-0.1585,0.6233,0.0586,-1.3257, 0.0000, 0.5182
  0.000, 0.6988, 0.00954, 0.00248,-0.1568,0.6048,0.0751,-0.9100, 0.0000, 0.4731
  1.000, 0.8037, 0.00961, 0.00248,-0.1546,0.5807,0.0961,-0.9271, 0.0000, 0.4398
  2.000, 0.9101, 0.00962, 0.00261,-0.1527,0.5624,0.1219,-1.0355, 0.0000, 0.4141
  3.000, 1.0093, 0.00988, 0.00284,-0.1493,0.5211,0.1570,-1.2095, 0.0000, 0.3931
  4.000, 1.1087, 0.01019, 0.00326,-0.1462,0.4889,0.2120,-1.4127, 0.0000, 0.3759
  5.000, 1.2006, 0.01074, 0.00385,-0.1418,0.4395,0.2934,-1.6387, 0.0000, 0.3608
  7.000, 1.3330, 0.01311, 0.00639,-0.1241,0.2436,1.0000,-2.0981, 0.0000, 0.3332
  9.000, 1.4313, 0.01734, 0.01013,-0.1021,0.1358,1.0000,-3.0271, 0.0000, 0.3087
 10.000, 1.4758, 0.01985, 0.01260,-0.0920,0.1087,1.0000,-3.5367, 0.0000, 0.2981
 11.000, 1.5144, 0.02306, 0.01585,-0.0825,0.0875,1.0000,-4.0736, 0.0000, 0.2886
 12.000, 1.5412, 0.02763, 0.02043,-0.0736,0.0643,1.0000,-4.5818, 0.0000, 0.2801
 13.000, 1.5589, 0.03381, 0.02660,-0.0661,0.0399,1.0000,-5.0582, 0.0000, 0.2729
 14.000, 1.5620, 0.04237, 0.03522,-0.0602,0.0193,1.0000,-5.4676, 0.0000, 0.2671
 15.000, 1.5732, 0.05138, 0.04449,-0.0568,0.0154,1.0000,-5.9114, 0.0000, 0.2625


