xflr5 v6.49

 Calculated polar for: Aerofoil1722

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.103 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -1.000, 0.4161, 0.01616, 0.00650,-0.1215,0.7470,0.1134,-1.1330, 0.0000, 0.5420
  0.000, 0.5540, 0.01561, 0.00593,-0.1269,0.7106,0.2088,-0.7158, 0.0000, 0.4780
  1.000, 0.7047, 0.01440, 0.00616,-0.1351,0.6770,1.0000,-0.8718, 0.0000, 0.4396
  2.000, 0.8096, 0.01522, 0.00646,-0.1331,0.6439,1.0000,-1.0243, 0.0000, 0.4113
  3.000, 0.9007, 0.01598, 0.00696,-0.1281,0.6057,1.0000,-1.1864, 0.0000, 0.3881
  4.000, 0.9844, 0.01668, 0.00757,-0.1216,0.5634,1.0000,-1.3628, 0.0000, 0.3683
  5.000, 1.0640, 0.01742, 0.00831,-0.1144,0.5186,1.0000,-1.5579, 0.0000, 0.3511
  6.000, 1.1350, 0.01826, 0.00918,-0.1055,0.4654,1.0000,-1.7628, 0.0000, 0.3354
  7.000, 1.1860, 0.01937, 0.01030,-0.0930,0.3937,1.0000,-1.9543, 0.0000, 0.3196
  8.000, 1.2270, 0.02132, 0.01211,-0.0797,0.3130,1.0000,-2.4236, 0.0000, 0.3048
  9.000, 1.2622, 0.02405, 0.01479,-0.0667,0.2534,1.0000,-2.9360, 0.0000, 0.2914
 10.000, 1.2967, 0.02723, 0.01814,-0.0550,0.2142,1.0000,-3.4964, 0.0000, 0.2795
 11.000, 1.3131, 0.03129, 0.02233,-0.0429,0.1755,1.0000,-4.0007, 0.0000, 0.2682
 12.000, 1.3268, 0.03625, 0.02774,-0.0333,0.1434,1.0000,-4.4854, 0.0000, 0.2590
 13.000, 1.3224, 0.04375, 0.03553,-0.0263,0.1070,1.0000,-4.8578, 0.0000, 0.2520
 14.000, 1.2975, 0.05526, 0.04708,-0.0229,0.0518,1.0000,-5.0680, 0.0000, 0.2479
 15.000, 1.2537, 0.07143, 0.06349,-0.0237,0.0323,1.0000,-5.1261, 0.0000, 0.2473


