xflr5 v6.49

 Calculated polar for: Aerofoil1759

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4201, 0.01487, 0.00706,-0.1482,0.8025,0.0531,-1.7890, 0.0000, 0.6056
 -1.000, 0.5578, 0.01352, 0.00560,-0.1531,0.7884,0.0911,-1.0793, 0.0000, 0.5252
  0.000, 0.6480, 0.01315, 0.00532,-0.1486,0.7639,0.1509,-0.8089, 0.0000, 0.4784
  1.000, 0.7490, 0.01278, 0.00527,-0.1463,0.7399,0.2798,-0.8713, 0.0000, 0.4432
  3.000, 0.9840, 0.01196, 0.00544,-0.1484,0.6904,1.0000,-1.1222, 0.0000, 0.3962
  4.000, 1.0644, 0.01246, 0.00574,-0.1416,0.6459,1.0000,-1.3093, 0.0000, 0.3772
  5.000, 1.1311, 0.01317, 0.00628,-0.1323,0.5933,1.0000,-1.5067, 0.0000, 0.3598
  6.000, 1.1985, 0.01418, 0.00713,-0.1238,0.5412,1.0000,-1.7293, 0.0000, 0.3447
  7.000, 1.2454, 0.01571, 0.00849,-0.1120,0.4687,1.0000,-1.9469, 0.0000, 0.3299
  8.000, 1.2613, 0.01868, 0.01093,-0.0963,0.3474,1.0000,-2.1243, 0.0000, 0.3148
  9.000, 1.2671, 0.02323, 0.01492,-0.0817,0.2358,1.0000,-2.3402, 0.0000, 0.3014
 10.000, 1.2947, 0.02765, 0.01920,-0.0720,0.1789,1.0000,-2.7192, 0.0000, 0.2909
 11.000, 1.3313, 0.03210, 0.02375,-0.0646,0.1457,1.0000,-3.1719, 0.0000, 0.2821
 12.000, 1.3669, 0.03713, 0.02895,-0.0583,0.1223,1.0000,-3.6400, 0.0000, 0.2744
 13.000, 1.3992, 0.04294, 0.03494,-0.0530,0.0994,1.0000,-4.1157, 0.0000, 0.2678
 14.000, 1.4285, 0.04958, 0.04182,-0.0489,0.0813,1.0000,-4.6233, 0.0000, 0.2621
 15.000, 1.4525, 0.05740, 0.04993,-0.0460,0.0651,1.0000,-5.1208, 0.0000, 0.2574


