xflr5 v6.49

 Calculated polar for: Aerofoil1770

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.3713, 0.01307, 0.00511,-0.1339,0.7783,0.0493,-1.9139, 0.0000, 0.6130
 -1.000, 0.5002, 0.01235, 0.00420,-0.1371,0.7396,0.0821,-1.2110, 0.0000, 0.5244
  0.000, 0.6155, 0.01211, 0.00400,-0.1374,0.7085,0.1440,-0.7470, 0.0000, 0.4722
  1.000, 0.7221, 0.01202, 0.00416,-0.1360,0.6790,0.2693,-0.8138, 0.0000, 0.4361
  3.000, 0.9376, 0.01182, 0.00499,-0.1332,0.6064,1.0000,-1.2997, 0.0000, 0.3874
  4.000, 1.0027, 0.01243, 0.00528,-0.1225,0.5475,1.0000,-1.5442, 0.0000, 0.3664
  5.000, 1.0698, 0.01321, 0.00590,-0.1127,0.4830,1.0000,-1.8166, 0.0000, 0.3483
  6.000, 1.0994, 0.01511, 0.00703,-0.0963,0.3317,1.0000,-2.0498, 0.0000, 0.3293
  7.000, 1.1139, 0.01851, 0.00954,-0.0794,0.1777,1.0000,-2.2669, 0.0000, 0.3116
  8.000, 1.1535, 0.02123, 0.01209,-0.0679,0.1288,1.0000,-2.5409, 0.0000, 0.2979
  9.000, 1.1936, 0.02417, 0.01509,-0.0576,0.1051,1.0000,-2.8424, 0.0000, 0.2858
 10.000, 1.2276, 0.02785, 0.01885,-0.0480,0.0903,1.0000,-3.1619, 0.0000, 0.2751
 11.000, 1.2613, 0.03205, 0.02325,-0.0400,0.0793,1.0000,-3.5194, 0.0000, 0.2660
 12.000, 1.2929, 0.03702, 0.02850,-0.0332,0.0716,1.0000,-3.8729, 0.0000, 0.2582
 13.000, 1.3205, 0.04277, 0.03446,-0.0277,0.0644,1.0000,-4.2486, 0.0000, 0.2517
 14.000, 1.3504, 0.04892, 0.04097,-0.0234,0.0588,1.0000,-4.6378, 0.0000, 0.2461
 15.000, 1.3727, 0.05616, 0.04856,-0.0204,0.0536,1.0000,-5.0095, 0.0000, 0.2415


