xflr5 v6.49

 Calculated polar for: NACA 3516

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.1510, 0.01239, 0.00460,-0.0902,0.7752,0.3588,-0.8084, 0.0000, 0.8559
 -1.000, 0.2598, 0.01199, 0.00438,-0.0892,0.7395,0.4409,-0.6720, 0.0000, 0.5944
  0.000, 0.3672, 0.01174, 0.00432,-0.0877,0.7006,0.5345,-0.7602, 0.0000, 0.4871
  1.000, 0.4726, 0.01159, 0.00440,-0.0857,0.6594,0.6502,-0.8582, 0.0000, 0.4277
  2.000, 0.5721, 0.01152, 0.00473,-0.0820,0.6169,0.8069,-0.9685, 0.0000, 0.3882
  3.000, 0.7033, 0.01195, 0.00516,-0.0849,0.5689,0.9706,-1.1232, 0.0000, 0.3645
  4.000, 0.8131, 0.01263, 0.00562,-0.0849,0.5189,1.0000,-1.2995, 0.0000, 0.3470
  5.000, 0.8993, 0.01352, 0.00627,-0.0799,0.4682,1.0000,-1.5019, 0.0000, 0.3303
  6.000, 0.9824, 0.01465, 0.00718,-0.0746,0.4132,1.0000,-1.7503, 0.0000, 0.3161
  7.000, 1.0582, 0.01606, 0.00840,-0.0683,0.3551,1.0000,-2.0353, 0.0000, 0.3034
  8.000, 1.1210, 0.01784, 0.00999,-0.0601,0.2969,1.0000,-2.3379, 0.0000, 0.2911
  9.000, 1.1784, 0.02028, 0.01226,-0.0522,0.2397,1.0000,-2.6620, 0.0000, 0.2803
 10.000, 1.2289, 0.02348, 0.01534,-0.0446,0.1883,1.0000,-2.9987, 0.0000, 0.2708
 11.000, 1.2716, 0.02762, 0.01940,-0.0376,0.1470,1.0000,-3.3499, 0.0000, 0.2624
 12.000, 1.3060, 0.03287, 0.02468,-0.0314,0.1161,1.0000,-3.6888, 0.0000, 0.2550
 13.000, 1.3314, 0.03949, 0.03139,-0.0263,0.0947,1.0000,-4.0263, 0.0000, 0.2488
 14.000, 1.3489, 0.04759, 0.03971,-0.0227,0.0799,1.0000,-4.3463, 0.0000, 0.2439
 15.000, 1.3598, 0.05727, 0.04966,-0.0208,0.0690,1.0000,-4.6418, 0.0000, 0.2402


