xflr5 v6.49

 Calculated polar for: Aerofoil1322

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4464, 0.01548, 0.00631,-0.1515,0.7046,0.0709,-1.5153, 0.0000, 0.5913
 -1.000, 0.5535, 0.01481, 0.00546,-0.1507,0.6831,0.1158,-0.9334, 0.0000, 0.5225
  0.000, 0.6525, 0.01451, 0.00526,-0.1483,0.6625,0.1979,-0.8851, 0.0000, 0.4762
  1.000, 0.7523, 0.01419, 0.00545,-0.1462,0.6430,0.4275,-0.9550, 0.0000, 0.4421
  3.000, 0.9751, 0.01468, 0.00647,-0.1465,0.6079,1.0000,-1.1223, 0.0000, 0.3957
  4.000, 1.0658, 0.01545, 0.00724,-0.1425,0.5899,1.0000,-1.2467, 0.0000, 0.3779
  5.000, 1.1568, 0.01637, 0.00828,-0.1386,0.5717,1.0000,-1.4162, 0.0000, 0.3629
  6.000, 1.2386, 0.01692, 0.00888,-0.1325,0.5414,1.0000,-1.6037, 0.0000, 0.3487
  7.000, 1.3024, 0.01764, 0.00993,-0.1231,0.5119,1.0000,-2.1532, 0.0000, 0.3349
  8.000, 1.3388, 0.01842, 0.01093,-0.1083,0.4600,1.0000,-2.7044, 0.0000, 0.3199
  9.000, 1.3350, 0.02070, 0.01279,-0.0880,0.3397,1.0000,-3.1148, 0.0000, 0.3034
 10.000, 1.2975, 0.02655, 0.01801,-0.0679,0.2165,1.0000,-3.3673, 0.0000, 0.2883
 11.000, 1.2641, 0.03508, 0.02607,-0.0547,0.1153,1.0000,-3.6022, 0.0000, 0.2776
 12.000, 1.2258, 0.04657, 0.03694,-0.0461,0.0215,1.0000,-3.7909, 0.0000, 0.2701
 13.000, 1.2346, 0.05541, 0.04627,-0.0421,0.0177,1.0000,-4.1763, 0.0000, 0.2648
 14.000, 1.2319, 0.06666, 0.05809,-0.0400,0.0161,1.0000,-4.5044, 0.0000, 0.2613
 15.000, 1.2244, 0.07986, 0.07184,-0.0403,0.0149,1.0000,-4.7934, 0.0000, 0.2598


