xflr5 v6.49

 Calculated polar for: Aerofoil1425

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.103 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.3560, 0.01861, 0.00935,-0.1338,0.7970,0.0717,-1.7107, 0.0000, 0.6285
 -1.000, 0.4727, 0.01720, 0.00780,-0.1343,0.7711,0.1144,-1.1256, 0.0000, 0.5349
  0.000, 0.5871, 0.01651, 0.00723,-0.1343,0.7460,0.2008,-0.7509, 0.0000, 0.4783
  2.000, 0.8087, 0.01591, 0.00791,-0.1332,0.7010,1.0000,-0.9883, 0.0000, 0.4119
  3.000, 0.9103, 0.01688, 0.00875,-0.1308,0.6787,1.0000,-1.2953, 0.0000, 0.3897
  4.000, 1.0015, 0.01707, 0.00883,-0.1250,0.6293,1.0000,-1.6305, 0.0000, 0.3697
  5.000, 1.0821, 0.01741, 0.00914,-0.1174,0.5651,1.0000,-1.9915, 0.0000, 0.3520
  6.000, 1.1198, 0.01865, 0.00967,-0.1019,0.3797,1.0000,-2.3022, 0.0000, 0.3332
  7.000, 1.0841, 0.02458, 0.01386,-0.0785,0.1360,1.0000,-2.4453, 0.0000, 0.3134
  8.000, 1.1075, 0.02893, 0.01822,-0.0668,0.1041,1.0000,-2.7296, 0.0000, 0.2999
  9.000, 1.1402, 0.03367, 0.02305,-0.0581,0.0869,1.0000,-3.0541, 0.0000, 0.2891
 10.000, 1.1894, 0.03848, 0.02790,-0.0521,0.0747,1.0000,-3.4333, 0.0000, 0.2805
 11.000, 1.2539, 0.04317, 0.03282,-0.0480,0.0652,1.0000,-3.9026, 0.0000, 0.2734
 12.000, 1.3210, 0.04878, 0.03890,-0.0447,0.0571,1.0000,-4.3746, 0.0000, 0.2673
 13.000, 1.3779, 0.05562, 0.04609,-0.0417,0.0518,1.0000,-4.8437, 0.0000, 0.2620
 14.000, 1.3881, 0.06600, 0.05752,-0.0375,0.0474,1.0000,-5.1094, 0.0000, 0.2569
 15.000, 1.3628, 0.08054, 0.07308,-0.0359,0.0450,1.0000,-5.1999, 0.0000, 0.2544


