xflr5 v6.49

 Calculated polar for: Aerofoil5022

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4379, 0.01338, 0.00508,-0.1455,0.7127,0.0618,-1.5743, 0.0000, 0.5841
 -1.000, 0.5451, 0.01283, 0.00433,-0.1441,0.6871,0.0900,-1.0223, 0.0000, 0.5145
  0.000, 0.6490, 0.01254, 0.00406,-0.1421,0.6618,0.1363,-0.8256, 0.0000, 0.4678
  1.000, 0.7536, 0.01248, 0.00415,-0.1404,0.6409,0.2138,-0.8978, 0.0000, 0.4340
  2.000, 0.8568, 0.01238, 0.00442,-0.1385,0.6180,0.4034,-0.9923, 0.0000, 0.4082
  4.000, 1.0608, 0.01242, 0.00523,-0.1337,0.5577,1.0000,-1.3596, 0.0000, 0.3703
  5.000, 1.1531, 0.01309, 0.00585,-0.1295,0.5231,1.0000,-1.5793, 0.0000, 0.3553
  6.000, 1.2385, 0.01388, 0.00663,-0.1241,0.4797,1.0000,-1.8190, 0.0000, 0.3419
  7.000, 1.3083, 0.01499, 0.00765,-0.1159,0.4111,1.0000,-2.0596, 0.0000, 0.3289
  8.000, 1.3333, 0.01722, 0.00940,-0.1000,0.3046,1.0000,-2.4227, 0.0000, 0.3140
  9.000, 1.3537, 0.02041, 0.01231,-0.0856,0.2254,1.0000,-2.8325, 0.0000, 0.3008
 10.000, 1.3753, 0.02429, 0.01613,-0.0737,0.1782,1.0000,-3.2852, 0.0000, 0.2896
 11.000, 1.4002, 0.02885, 0.02078,-0.0646,0.1419,1.0000,-3.7658, 0.0000, 0.2804
 12.000, 1.4210, 0.03455, 0.02661,-0.0573,0.1141,1.0000,-4.2426, 0.0000, 0.2728
 13.000, 1.4414, 0.04121, 0.03345,-0.0519,0.0893,1.0000,-4.7237, 0.0000, 0.2667
 14.000, 1.4549, 0.04945, 0.04186,-0.0482,0.0620,1.0000,-5.1687, 0.0000, 0.2618
 15.000, 1.4513, 0.06077, 0.05323,-0.0464,0.0310,1.0000,-5.5234, 0.0000, 0.2585


