xflr5 v6.49

 Calculated polar for: Aerofoil1342

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -1.000, 0.5355, 0.01294, 0.00429,-0.1409,0.6615,0.0936,-1.0513, 0.0000, 0.5131
  0.000, 0.6389, 0.01269, 0.00411,-0.1389,0.6397,0.1600,-0.8270, 0.0000, 0.4661
  1.000, 0.7420, 0.01260, 0.00421,-0.1370,0.6162,0.3004,-0.9076, 0.0000, 0.4321
  2.000, 0.8655, 0.01173, 0.00464,-0.1393,0.5940,1.0000,-1.0598, 0.0000, 0.4074
  3.000, 0.9583, 0.01227, 0.00495,-0.1350,0.5673,1.0000,-1.2187, 0.0000, 0.3861
  4.000, 1.0443, 0.01280, 0.00532,-0.1293,0.5331,1.0000,-1.3949, 0.0000, 0.3678
  5.000, 1.1279, 0.01344, 0.00589,-0.1232,0.5004,1.0000,-1.5913, 0.0000, 0.3520
  6.000, 1.1997, 0.01413, 0.00661,-0.1149,0.4589,1.0000,-1.7955, 0.0000, 0.3372
  7.000, 1.2548, 0.01518, 0.00753,-0.1036,0.3966,1.0000,-1.9943, 0.0000, 0.3227
  8.000, 1.2919, 0.01706, 0.00914,-0.0899,0.3115,1.0000,-2.1901, 0.0000, 0.3083
  9.000, 1.3208, 0.01970, 0.01159,-0.0763,0.2444,1.0000,-2.4681, 0.0000, 0.2950
 10.000, 1.3458, 0.02292, 0.01480,-0.0638,0.2022,1.0000,-2.9153, 0.0000, 0.2832
 11.000, 1.3695, 0.02684, 0.01889,-0.0533,0.1715,1.0000,-3.3743, 0.0000, 0.2731
 12.000, 1.3867, 0.03199, 0.02421,-0.0447,0.1433,1.0000,-3.8216, 0.0000, 0.2646
 13.000, 1.4029, 0.03817, 0.03062,-0.0384,0.1206,1.0000,-4.2750, 0.0000, 0.2578
 14.000, 1.4139, 0.04563, 0.03832,-0.0338,0.0981,1.0000,-4.7351, 0.0000, 0.2524
 15.000, 1.4170, 0.05481, 0.04770,-0.0309,0.0714,1.0000,-5.1492, 0.0000, 0.2483


