xflr5 v6.49

 Calculated polar for: NACA 4913

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.1982, 0.02254, 0.01582,-0.1456,0.9644,0.4015,-0.7258, 0.0000, 0.9903
 -1.000, 0.3490, 0.02182, 0.01546,-0.1540,0.9475,0.4959,-0.5091, 0.0000, 0.6918
  0.000, 0.4444, 0.01999, 0.01402,-0.1501,0.8850,0.5701,-0.5908, 0.0000, 0.5863
  1.000, 0.6013, 0.01791, 0.01218,-0.1576,0.8427,0.6451,-0.7361, 0.0000, 0.5093
  2.000, 0.8081, 0.01497, 0.00896,-0.1755,0.7365,0.7062,-1.0014, 0.0000, 0.4633
  3.000, 0.9155, 0.01584, 0.00923,-0.1731,0.5938,0.7445,-1.2789, 0.0000, 0.4342
  4.000, 0.9935, 0.01739, 0.01029,-0.1650,0.4653,0.7746,-1.5860, 0.0000, 0.4102
  5.000, 1.0687, 0.01922, 0.01165,-0.1569,0.3420,0.7997,-1.9511, 0.0000, 0.3898
  6.000, 1.1428, 0.02141, 0.01335,-0.1492,0.2267,0.8216,-2.3681, 0.0000, 0.3724
  8.000, 1.2865, 0.02644, 0.01799,-0.1344,0.0917,0.8602,-3.3567, 0.0000, 0.3437
  9.000, 1.3436, 0.02937, 0.02100,-0.1247,0.0670,0.8757,-3.8702, 0.0000, 0.3307
 10.000, 1.3981, 0.03285, 0.02474,-0.1156,0.0530,0.8896,-4.4154, 0.0000, 0.3191
 11.000, 1.4418, 0.03739, 0.02956,-0.1060,0.0438,0.9021,-4.9682, 0.0000, 0.3084
 12.000, 1.4718, 0.04255, 0.03516,-0.0957,0.0381,0.9129,-5.4779, 0.0000, 0.2982
 13.000, 1.4884, 0.04984, 0.04292,-0.0868,0.0338,0.9215,-5.9317, 0.0000, 0.2897
 14.000, 1.4999, 0.05918, 0.05276,-0.0814,0.0305,0.9294,-6.3880, 0.0000, 0.2837
 15.000, 1.4901, 0.07170, 0.06575,-0.0785,0.0283,0.9362,-6.7310, 0.0000, 0.2800


