xflr5 v6.49

 Calculated polar for: Aerofoil1761

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.103 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4025, 0.01828, 0.00859,-0.1369,0.7236,0.0792,-1.5332, 0.0000, 0.5922
 -1.000, 0.5047, 0.01723, 0.00738,-0.1349,0.6987,0.1261,-0.9924, 0.0000, 0.5177
  0.000, 0.6089, 0.01679, 0.00699,-0.1333,0.6751,0.2181,-0.8224, 0.0000, 0.4679
  1.000, 0.7282, 0.01540, 0.00700,-0.1346,0.6553,1.0000,-0.9095, 0.0000, 0.4326
  2.000, 0.8238, 0.01633, 0.00755,-0.1313,0.6332,1.0000,-1.0014, 0.0000, 0.4061
  3.000, 0.9266, 0.01725, 0.00817,-0.1293,0.6132,1.0000,-1.1510, 0.0000, 0.3851
  4.000, 1.0187, 0.01818, 0.00913,-0.1254,0.5887,1.0000,-1.3131, 0.0000, 0.3676
  5.000, 1.1086, 0.01895, 0.00998,-0.1209,0.5574,1.0000,-1.4977, 0.0000, 0.3523
  6.000, 1.1949, 0.01970, 0.01092,-0.1158,0.5231,1.0000,-1.7026, 0.0000, 0.3388
  7.000, 1.2739, 0.02054, 0.01205,-0.1094,0.4834,1.0000,-1.9364, 0.0000, 0.3264
  8.000, 1.3399, 0.02153, 0.01325,-0.1007,0.4312,1.0000,-2.5506, 0.0000, 0.3143
  9.000, 1.3702, 0.02337, 0.01519,-0.0865,0.3608,1.0000,-3.0822, 0.0000, 0.3008
 10.000, 1.3677, 0.02735, 0.01893,-0.0702,0.2744,1.0000,-3.4955, 0.0000, 0.2874
 11.000, 1.3554, 0.03374, 0.02515,-0.0578,0.2096,1.0000,-3.8563, 0.0000, 0.2771
 12.000, 1.3529, 0.04155, 0.03311,-0.0505,0.1615,1.0000,-4.2337, 0.0000, 0.2701
 13.000, 1.3453, 0.05148, 0.04314,-0.0463,0.1112,1.0000,-4.5435, 0.0000, 0.2653
 14.000, 1.3129, 0.06627, 0.05753,-0.0452,0.0359,1.0000,-4.6908, 0.0000, 0.2633
 15.000, 1.2879, 0.08286, 0.07451,-0.0475,0.0261,1.0000,-4.8644, 0.0000, 0.2638


