xflr5 v6.49

 Calculated polar for: Aerofoil1797

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4764, 0.01583, 0.00730,-0.1604,0.7361,0.0575,-1.6577, 0.0000, 0.5887
 -1.000, 0.5854, 0.01477, 0.00598,-0.1593,0.7100,0.0819,-1.1634, 0.0000, 0.5225
  0.000, 0.6945, 0.01425, 0.00542,-0.1582,0.6851,0.1481,-0.8415, 0.0000, 0.4767
  1.000, 0.7992, 0.01432, 0.00575,-0.1562,0.6609,0.2722,-0.9149, 0.0000, 0.4432
  2.000, 0.9026, 0.01477, 0.00622,-0.1538,0.6381,0.3532,-1.0206, 0.0000, 0.4170
  3.000, 1.0089, 0.01512, 0.00660,-0.1520,0.6155,0.4192,-1.1971, 0.0000, 0.3961
  5.000, 1.2026, 0.01529, 0.00746,-0.1446,0.5428,1.0000,-1.6240, 0.0000, 0.3631
  6.000, 1.2890, 0.01610, 0.00835,-0.1391,0.5007,1.0000,-1.8683, 0.0000, 0.3495
  7.000, 1.3627, 0.01717, 0.00939,-0.1313,0.4371,1.0000,-2.1182, 0.0000, 0.3366
  8.000, 1.4022, 0.01919, 0.01102,-0.1179,0.3341,1.0000,-2.5543, 0.0000, 0.3228
  9.000, 1.4174, 0.02260, 0.01406,-0.1022,0.2457,1.0000,-2.9385, 0.0000, 0.3094
 10.000, 1.4360, 0.02682, 0.01820,-0.0898,0.1939,1.0000,-3.3422, 0.0000, 0.2983
 11.000, 1.4569, 0.03191, 0.02340,-0.0801,0.1609,1.0000,-3.7918, 0.0000, 0.2891
 12.000, 1.4720, 0.03840, 0.02997,-0.0726,0.1313,1.0000,-4.2301, 0.0000, 0.2816
 13.000, 1.4931, 0.04542, 0.03726,-0.0675,0.1057,1.0000,-4.7000, 0.0000, 0.2757
 14.000, 1.5085, 0.05393, 0.04609,-0.0641,0.0829,1.0000,-5.1448, 0.0000, 0.2710
 15.000, 1.5140, 0.06471, 0.05715,-0.0626,0.0586,1.0000,-5.5270, 0.0000, 0.2677


