xflr5 v6.49

 Calculated polar for: Aerofoil1162

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4375, 0.01432, 0.00587,-0.1329,0.6101,0.0549,-1.6583, 0.0000, 0.5552
 -1.000, 0.5412, 0.01358, 0.00482,-0.1310,0.5838,0.0904,-1.0323, 0.0000, 0.4915
  0.000, 0.6443, 0.01323, 0.00443,-0.1292,0.5583,0.1575,-1.0351, 0.0000, 0.4484
  1.000, 0.7454, 0.01305, 0.00440,-0.1271,0.5319,0.2938,-1.1779, 0.0000, 0.4171
  3.000, 0.9524, 0.01272, 0.00487,-0.1237,0.4701,1.0000,-1.5018, 0.0000, 0.3741
  4.000, 1.0124, 0.01423, 0.00536,-0.1139,0.3161,1.0000,-1.6469, 0.0000, 0.3554
  5.000, 1.0090, 0.01931, 0.00857,-0.0946,0.0115,1.0000,-1.7207, 0.0000, 0.3355
  6.000, 1.0718, 0.02090, 0.01029,-0.0865,0.0087,1.0000,-1.8644, 0.0000, 0.3211
  7.000, 1.1241, 0.02308, 0.01276,-0.0775,0.0080,1.0000,-1.9967, 0.0000, 0.3080
  8.000, 1.1602, 0.02635, 0.01646,-0.0679,0.0082,1.0000,-2.1190, 0.0000, 0.2961
  9.000, 1.1774, 0.03166, 0.02229,-0.0591,0.0085,1.0000,-2.2177, 0.0000, 0.2862
 10.000, 1.1787, 0.03968, 0.03086,-0.0528,0.0089,1.0000,-2.2757, 0.0000, 0.2792
 11.000, 1.1794, 0.04932, 0.04099,-0.0496,0.0094,1.0000,-2.4237, 0.0000, 0.2747
 12.000, 1.1639, 0.06251, 0.05468,-0.0492,0.0101,1.0000,-2.6449, 0.0000, 0.2732
 13.000, 1.1390, 0.07912, 0.07169,-0.0518,0.0110,1.0000,-2.7991, 0.0000, 0.2748
 14.000, 1.1497, 0.09155, 0.08433,-0.0537,0.0130,1.0000,-3.0907, 0.0000, 0.2741
 15.000, 1.1863, 0.10031, 0.09341,-0.0541,0.0177,1.0000,-3.4030, 0.0000, 0.2709


