xflr5 v6.49

 Calculated polar for: NACA 5516

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.103 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.2859, 0.02080, 0.01143,-0.1304,0.7812,0.2894,-0.9399, 0.0000, 0.7117
 -1.000, 0.3998, 0.02025, 0.01102,-0.1306,0.7591,0.3728,-0.7934, 0.0000, 0.5778
  0.000, 0.5281, 0.01935, 0.01031,-0.1329,0.7397,0.4807,-0.8865, 0.0000, 0.5001
  1.000, 0.6385, 0.01887, 0.01022,-0.1318,0.7141,0.6235,-0.9764, 0.0000, 0.4531
  2.000, 0.7427, 0.01832, 0.01029,-0.1288,0.6858,1.0000,-1.0715, 0.0000, 0.4185
  3.000, 0.8507, 0.01884, 0.01050,-0.1281,0.6561,1.0000,-1.1788, 0.0000, 0.3943
  4.000, 0.9567, 0.01947, 0.01092,-0.1269,0.6250,1.0000,-1.2991, 0.0000, 0.3750
  5.000, 1.0587, 0.02027, 0.01155,-0.1250,0.5920,1.0000,-1.4395, 0.0000, 0.3591
  6.000, 1.1394, 0.02158, 0.01290,-0.1197,0.5552,1.0000,-1.5984, 0.0000, 0.3446
  7.000, 1.2139, 0.02302, 0.01440,-0.1133,0.5165,1.0000,-1.8084, 0.0000, 0.3314
  8.000, 1.2912, 0.02454, 0.01586,-0.1076,0.4755,1.0000,-2.0794, 0.0000, 0.3199
  9.000, 1.3414, 0.02713, 0.01858,-0.0987,0.4297,1.0000,-2.3494, 0.0000, 0.3085
 10.000, 1.3854, 0.03034, 0.02181,-0.0899,0.3809,1.0000,-2.6400, 0.0000, 0.2980
 11.000, 1.4136, 0.03492, 0.02637,-0.0807,0.3292,1.0000,-2.9206, 0.0000, 0.2884
 12.000, 1.4273, 0.04133, 0.03288,-0.0722,0.2769,1.0000,-3.1891, 0.0000, 0.2799
 13.000, 1.4308, 0.04969, 0.04130,-0.0652,0.2268,1.0000,-3.4328, 0.0000, 0.2728
 14.000, 1.4259, 0.06012, 0.05184,-0.0602,0.1829,1.0000,-3.6677, 0.0000, 0.2673
 15.000, 1.4124, 0.07265, 0.06441,-0.0572,0.1478,1.0000,-3.8683, 0.0000, 0.2633


