xflr5 v6.49

 Calculated polar for: NACA 5619

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.2522, 0.02084, 0.01244,-0.1348,0.7847,0.3146,-0.9527, 0.0000, 0.7927
 -1.000, 0.3999, 0.01913, 0.01085,-0.1406,0.7759,0.3764,-0.8336, 0.0000, 0.6027
  0.000, 0.5026, 0.01886, 0.01074,-0.1385,0.7510,0.4343,-0.9161, 0.0000, 0.5234
  1.000, 0.6149, 0.01841, 0.01045,-0.1380,0.7243,0.4973,-1.0128, 0.0000, 0.4699
  2.000, 0.7242, 0.01819, 0.01036,-0.1369,0.6910,0.5612,-1.1171, 0.0000, 0.4326
  3.000, 0.8302, 0.01818, 0.01041,-0.1352,0.6494,0.6240,-1.2316, 0.0000, 0.4048
  4.000, 0.9394, 0.01822, 0.01042,-0.1341,0.6047,0.6881,-1.3633, 0.0000, 0.3833
  6.000, 1.1081, 0.01968, 0.01201,-0.1237,0.5159,1.0000,-1.6483, 0.0000, 0.3491
  7.000, 1.1872, 0.02150, 0.01354,-0.1190,0.4733,1.0000,-1.8268, 0.0000, 0.3361
  8.000, 1.2524, 0.02384, 0.01582,-0.1125,0.4311,1.0000,-2.0209, 0.0000, 0.3240
  9.000, 1.3108, 0.02664, 0.01845,-0.1054,0.3894,1.0000,-2.2370, 0.0000, 0.3129
 10.000, 1.3611, 0.03007, 0.02191,-0.0981,0.3478,1.0000,-2.4656, 0.0000, 0.3028
 11.000, 1.4017, 0.03438, 0.02613,-0.0905,0.3075,1.0000,-2.7021, 0.0000, 0.2934
 12.000, 1.4362, 0.03960, 0.03141,-0.0835,0.2679,1.0000,-2.9460, 0.0000, 0.2850
 13.000, 1.4604, 0.04620, 0.03803,-0.0768,0.2320,1.0000,-3.1864, 0.0000, 0.2774
 14.000, 1.4781, 0.05406, 0.04599,-0.0712,0.1987,1.0000,-3.4224, 0.0000, 0.2708
 15.000, 1.4834, 0.06384, 0.05585,-0.0666,0.1708,1.0000,-3.6360, 0.0000, 0.2653


