xflr5 v6.49

 Calculated polar for: NACA 1524

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000,-0.0910, 0.01680, 0.00796,-0.0313,0.6659,0.4544,-1.0519, 0.0000,-0.1310
 -1.000, 0.0067, 0.01652, 0.00772,-0.0281,0.6262,0.4957,-0.9149, 0.0000, 4.6958
  0.000, 0.1045, 0.01643, 0.00762,-0.0250,0.5879,0.5406,-0.8953, 0.0000, 0.4855
  1.000, 0.2016, 0.01651, 0.00764,-0.0217,0.5510,0.5883,-1.0045, 0.0000, 0.3467
  2.000, 0.2963, 0.01668, 0.00797,-0.0180,0.5150,0.6390,-1.1225, 0.0000, 0.2968
  3.000, 0.3887, 0.01702, 0.00840,-0.0139,0.4801,0.6947,-1.2503, 0.0000, 0.2701
  4.000, 0.4798, 0.01756, 0.00911,-0.0095,0.4465,0.7528,-1.3898, 0.0000, 0.2527
  5.000, 0.5672, 0.01834, 0.01000,-0.0046,0.4141,0.8130,-1.5418, 0.0000, 0.2397
  6.000, 0.6483, 0.01938, 0.01110, 0.0013,0.3832,0.8743,-1.7028, 0.0000, 0.2282
  7.000, 0.7449, 0.02095, 0.01268, 0.0034,0.3522,0.9257,-1.8948, 0.0000, 0.2246
  8.000, 0.8510, 0.02287, 0.01453, 0.0021,0.3214,0.9680,-2.1157, 0.0000, 0.2257
  9.000, 0.9703, 0.02528, 0.01687,-0.0035,0.2909,0.9968,-2.3753, 0.0000, 0.2309
 10.000, 0.9833, 0.02721, 0.01877, 0.0098,0.2696,1.0000,-2.5143, 0.0000, 0.2152
 11.000, 1.0048, 0.03006, 0.02162, 0.0202,0.2488,1.0000,-2.6722, 0.0000, 0.2028
 12.000, 1.0362, 0.03405, 0.02562, 0.0268,0.2285,1.0000,-2.8493, 0.0000, 0.1949
 13.000, 1.0649, 0.03926, 0.03089, 0.0314,0.2096,1.0000,-3.0254, 0.0000, 0.1890
 14.000, 1.0884, 0.04578, 0.03749, 0.0345,0.1923,1.0000,-3.1972, 0.0000, 0.1845
 15.000, 1.1057, 0.05365, 0.04543, 0.0361,0.1765,1.0000,-3.3592, 0.0000, 0.1811


