xflr5 v6.49

 Calculated polar for: NACA 0723

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.103 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000,-0.1991, 0.01931, 0.01019,-0.0063,0.7089,0.5235,-1.0476, 0.0000, 0.2009
 -1.000,-0.1011, 0.01897, 0.00978,-0.0029,0.6599,0.5678,-0.9186, 0.0000, 0.2039
  0.000, 0.0000, 0.01889, 0.00977,-0.0000,0.6127,0.6127,-0.8001, 0.0000, 0.4307
  1.000, 0.1011, 0.01897, 0.00978, 0.0029,0.5678,0.6599,-0.9186, 0.0000, 0.2039
  2.000, 0.1991, 0.01931, 0.01019, 0.0063,0.5235,0.7089,-1.0477, 0.0000, 0.2009
  4.000, 0.4015, 0.02073, 0.01164, 0.0119,0.4415,0.8032,-1.3593, 0.0000, 0.2023
  5.000, 0.4988, 0.02178, 0.01268, 0.0151,0.4027,0.8489,-1.5396, 0.0000, 0.2011
  6.000, 0.6074, 0.02320, 0.01399, 0.0158,0.3657,0.8865,-1.7525, 0.0000, 0.2050
  7.000, 0.7075, 0.02475, 0.01560, 0.0171,0.3297,0.9255,-1.9765, 0.0000, 0.2061
  8.000, 0.8276, 0.02672, 0.01752, 0.0133,0.2944,0.9555,-2.2475, 0.0000, 0.2134
  9.000, 0.9357, 0.02891, 0.01967, 0.0104,0.2628,0.9858,-2.5337, 0.0000, 0.2175
 10.000, 0.9775, 0.03109, 0.02186, 0.0178,0.2389,1.0000,-2.7318, 0.0000, 0.2087
 11.000, 0.9620, 0.03358, 0.02435, 0.0343,0.2211,1.0000,-2.8576, 0.0000, 0.1887
 12.000, 0.9646, 0.03753, 0.02842, 0.0452,0.2031,1.0000,-3.0090, 0.0000, 0.1751
 13.000, 0.9747, 0.04315, 0.03415, 0.0515,0.1857,1.0000,-3.1648, 0.0000, 0.1666
 14.000, 0.9867, 0.05017, 0.04131, 0.0548,0.1710,1.0000,-3.3161, 0.0000, 0.1614
 15.000, 0.9977, 0.05832, 0.04946, 0.0560,0.1565,1.0000,-3.4820, 0.0000, 0.1583


