xflr5 v6.49

 Calculated polar for: NACA 2418

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.0072, 0.01414, 0.00586,-0.0515,0.7264,0.4410,-0.8825, 0.0000, 7.6823
 -1.000, 0.1095, 0.01369, 0.00562,-0.0488,0.6796,0.5508,-0.6958, 0.0000, 0.7018
  0.000, 0.2114, 0.01352, 0.00566,-0.0458,0.6331,0.6607,-0.7705, 0.0000, 0.4644
  1.000, 0.3157, 0.01366, 0.00594,-0.0429,0.5903,0.7617,-0.8733, 0.0000, 0.3808
  2.000, 0.4252, 0.01414, 0.00642,-0.0411,0.5507,0.8511,-0.9920, 0.0000, 0.3397
  3.000, 0.5502, 0.01490, 0.00705,-0.0428,0.5124,0.9174,-1.1411, 0.0000, 0.3197
  4.000, 0.6923, 0.01579, 0.00777,-0.0488,0.4736,0.9659,-1.3312, 0.0000, 0.3114
  6.000, 0.9191, 0.01744, 0.00921,-0.0516,0.3972,1.0000,-1.7796, 0.0000, 0.2949
  7.000, 0.9790, 0.01840, 0.01012,-0.0423,0.3603,1.0000,-1.9971, 0.0000, 0.2807
  8.000, 1.0361, 0.01965, 0.01130,-0.0328,0.3212,1.0000,-2.2388, 0.0000, 0.2677
  9.000, 1.0848, 0.02135, 0.01292,-0.0225,0.2819,1.0000,-2.4941, 0.0000, 0.2553
 10.000, 1.1296, 0.02389, 0.01537,-0.0134,0.2436,1.0000,-2.7628, 0.0000, 0.2448
 11.000, 1.1739, 0.02725, 0.01878,-0.0062,0.2082,1.0000,-3.0446, 0.0000, 0.2365
 12.000, 1.2079, 0.03192, 0.02354, 0.0000,0.1764,1.0000,-3.3279, 0.0000, 0.2293
 13.000, 1.2307, 0.03826, 0.02999, 0.0048,0.1501,1.0000,-3.5863, 0.0000, 0.2234
 14.000, 1.2432, 0.04643, 0.03835, 0.0078,0.1293,1.0000,-3.8282, 0.0000, 0.2189
 15.000, 1.2471, 0.05653, 0.04866, 0.0088,0.1130,1.0000,-4.0460, 0.0000, 0.2159


