xflr5 v6.49

 Calculated polar for: Aerofoil1011

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4222, 0.01572, 0.00606,-0.1501,0.6578,0.0807,-1.3584, 0.0000, 0.6074
 -1.000, 0.5249, 0.01510, 0.00536,-0.1487,0.6431,0.1322,-0.8424, 0.0000, 0.5337
  0.000, 0.6256, 0.01479, 0.00521,-0.1469,0.6284,0.2269,-0.9078, 0.0000, 0.4840
  2.000, 0.8556, 0.01434, 0.00602,-0.1495,0.6018,1.0000,-1.0606, 0.0000, 0.4217
  3.000, 0.9519, 0.01510, 0.00673,-0.1467,0.5900,1.0000,-1.1307, 0.0000, 0.4000
  4.000, 1.0513, 0.01608, 0.00783,-0.1446,0.5779,1.0000,-1.2261, 0.0000, 0.3825
  5.000, 1.1077, 0.01543, 0.00716,-0.1319,0.5140,1.0000,-1.8518, 0.0000, 0.3627
  6.000, 1.0700, 0.01824, 0.00837,-0.1026,0.2308,1.0000,-2.0675, 0.0000, 0.3384
  7.000, 1.0285, 0.02397, 0.01317,-0.0785,0.0180,1.0000,-2.2417, 0.0000, 0.3176
  8.000, 1.0439, 0.02834, 0.01799,-0.0665,0.0141,1.0000,-2.6178, 0.0000, 0.3037
  9.000, 1.0529, 0.03456, 0.02472,-0.0574,0.0131,1.0000,-2.9639, 0.0000, 0.2931
 10.000, 1.0544, 0.04256, 0.03315,-0.0504,0.0126,1.0000,-3.3311, 0.0000, 0.2849
 11.000, 1.0582, 0.05117, 0.04202,-0.0448,0.0123,1.0000,-3.6932, 0.0000, 0.2780
 12.000, 1.1092, 0.05641, 0.04737,-0.0398,0.0116,1.0000,-4.2642, 0.0000, 0.2700
 13.000, 1.2257, 0.06044, 0.05176,-0.0368,0.0117,1.0000,-5.0358, 0.0000, 0.2627
 14.000, 1.2721, 0.06968, 0.06189,-0.0338,0.0124,1.0000,-5.4234, 0.0000, 0.2576
 15.000, 1.2435, 0.08423, 0.07772,-0.0315,0.0137,1.0000,-5.3170, 0.0000, 0.2546


