xflr5 v6.49

 Calculated polar for: Aerofoil1713

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.3678, 0.01532, 0.00604,-0.1327,0.6695,0.0781,-1.4079, 0.0000, 0.6130
 -1.000, 0.4757, 0.01465, 0.00505,-0.1323,0.6530,0.1298,-0.8536, 0.0000, 0.5284
  0.000, 0.5806, 0.01427, 0.00493,-0.1316,0.6379,0.2228,-0.8648, 0.0000, 0.4758
  2.000, 0.7969, 0.01354, 0.00545,-0.1308,0.6090,1.0000,-1.0114, 0.0000, 0.4113
  3.000, 0.8999, 0.01432, 0.00631,-0.1296,0.5951,1.0000,-1.0855, 0.0000, 0.3902
  4.000, 0.9825, 0.01391, 0.00523,-0.1225,0.4681,1.0000,-1.2620, 0.0000, 0.3697
  5.000, 0.9806, 0.01996, 0.00889,-0.1043,0.0147,1.0000,-1.5732, 0.0000, 0.3503
  6.000, 1.0271, 0.02235, 0.01170,-0.0937,0.0127,1.0000,-2.0726, 0.0000, 0.3340
  7.000, 1.0490, 0.02632, 0.01617,-0.0816,0.0116,1.0000,-2.4974, 0.0000, 0.3194
  8.000, 1.0604, 0.03230, 0.02258,-0.0721,0.0113,1.0000,-2.8620, 0.0000, 0.3083
  9.000, 1.0684, 0.04009, 0.03065,-0.0651,0.0114,1.0000,-3.1854, 0.0000, 0.2998
 10.000, 1.1507, 0.04513, 0.03549,-0.0607,0.0120,1.0000,-3.7708, 0.0000, 0.2903
 11.000, 1.2430, 0.05027, 0.04134,-0.0575,0.0137,1.0000,-4.3516, 0.0000, 0.2824
 12.000, 1.3675, 0.05974, 0.05204,-0.0557,0.0228,1.0000,-4.7146, 0.0000, 0.2753


