xflr5 v6.49

 Calculated polar for: Aerofoil1044

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4107, 0.01356, 0.00511,-0.1421,0.6997,0.0656,-1.5061, 0.0000, 0.5986
 -1.000, 0.5198, 0.01294, 0.00435,-0.1420,0.6825,0.1089,-0.9088, 0.0000, 0.5239
  0.000, 0.6273, 0.01260, 0.00409,-0.1418,0.6633,0.1855,-0.9260, 0.0000, 0.4753
  1.000, 0.7343, 0.01235, 0.00422,-0.1416,0.6483,0.3639,-0.9925, 0.0000, 0.4409
  3.000, 0.9500, 0.01220, 0.00496,-0.1409,0.6178,1.0000,-1.1354, 0.0000, 0.3942
  4.000, 1.0510, 0.01296, 0.00589,-0.1397,0.6044,1.0000,-1.2056, 0.0000, 0.3777
  5.000, 1.1525, 0.01377, 0.00692,-0.1385,0.5908,1.0000,-1.6346, 0.0000, 0.3637
  6.000, 1.2434, 0.01411, 0.00727,-0.1345,0.5449,1.0000,-2.4048, 0.0000, 0.3504
  7.000, 1.2553, 0.01599, 0.00853,-0.1165,0.3802,1.0000,-2.8501, 0.0000, 0.3337
  8.000, 1.1551, 0.02529, 0.01608,-0.0888,0.0908,1.0000,-2.8504, 0.0000, 0.3164
  9.000, 1.1511, 0.03289, 0.02342,-0.0785,0.0165,1.0000,-3.1819, 0.0000, 0.3062
 10.000, 1.1782, 0.03939, 0.03036,-0.0727,0.0141,1.0000,-3.6826, 0.0000, 0.2981
 11.000, 1.1955, 0.04773, 0.03904,-0.0680,0.0123,1.0000,-4.1768, 0.0000, 0.2917
 12.000, 1.2182, 0.05650, 0.04811,-0.0646,0.0114,1.0000,-4.6588, 0.0000, 0.2861
 13.000, 1.2658, 0.06345, 0.05536,-0.0618,0.0109,1.0000,-5.2350, 0.0000, 0.2801
 14.000, 1.3346, 0.06980, 0.06223,-0.0594,0.0106,1.0000,-5.8564, 0.0000, 0.2741
 15.000, 1.3701, 0.08075, 0.07403,-0.0583,0.0102,1.0000,-6.3026, 0.0000, 0.2702


