xflr5 v6.49

 Calculated polar for: NACA 3613

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.103 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.0672, 0.01888, 0.01027,-0.0890,0.8946,0.4413,-0.8540, 0.0000, 1.5912
 -1.000, 0.2031, 0.01817, 0.00986,-0.0930,0.8769,0.5612,-0.5696, 0.0000, 0.7099
  0.000, 0.3214, 0.01750, 0.00949,-0.0929,0.8518,0.6684,-0.5841, 0.0000, 0.5380
  1.000, 0.4255, 0.01679, 0.00920,-0.0894,0.8185,0.7911,-0.6797, 0.0000, 0.4577
  2.000, 0.5507, 0.01589, 0.00856,-0.0901,0.7789,1.0000,-0.8157, 0.0000, 0.4101
  3.000, 0.6717, 0.01554, 0.00807,-0.0907,0.7249,1.0000,-1.0083, 0.0000, 0.3804
  4.000, 0.7912, 0.01547, 0.00782,-0.0907,0.6458,1.0000,-1.2914, 0.0000, 0.3590
  5.000, 0.8961, 0.01635, 0.00821,-0.0882,0.5414,1.0000,-1.6410, 0.0000, 0.3418
  6.000, 0.9812, 0.01805, 0.00952,-0.0829,0.4302,1.0000,-2.0261, 0.0000, 0.3268
  7.000, 1.0513, 0.02038, 0.01136,-0.0758,0.3158,1.0000,-2.4439, 0.0000, 0.3131
  8.000, 1.1083, 0.02338, 0.01397,-0.0672,0.2097,1.0000,-2.8635, 0.0000, 0.3004
  9.000, 1.1570, 0.02723, 0.01749,-0.0586,0.1363,1.0000,-3.2731, 0.0000, 0.2890
 10.000, 1.2016, 0.03169, 0.02201,-0.0505,0.0971,1.0000,-3.7440, 0.0000, 0.2790
 11.000, 1.2371, 0.03710, 0.02760,-0.0427,0.0756,1.0000,-4.1913, 0.0000, 0.2699
 12.000, 1.2659, 0.04356, 0.03436,-0.0359,0.0622,1.0000,-4.6154, 0.0000, 0.2622
 13.000, 1.2877, 0.05129, 0.04256,-0.0304,0.0526,1.0000,-5.0071, 0.0000, 0.2557
 14.000, 1.2999, 0.06071, 0.05228,-0.0262,0.0469,1.0000,-5.3492, 0.0000, 0.2505
 15.000, 1.2974, 0.07295, 0.06541,-0.0244,0.0429,1.0000,-5.5623, 0.0000, 0.2472


