xflr5 v6.49

 Calculated polar for: NACA 3416

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.1200, 0.01403, 0.00552,-0.0763,0.7425,0.3529,-0.8754, 0.0000, 0.8962
 -1.000, 0.2236, 0.01328, 0.00518,-0.0741,0.6977,0.5057,-0.7066, 0.0000, 0.5828
  0.000, 0.3235, 0.01286, 0.00526,-0.0705,0.6529,0.7046,-0.7909, 0.0000, 0.4659
  1.000, 0.4334, 0.01303, 0.00559,-0.0681,0.6109,0.8696,-0.8900, 0.0000, 0.4032
  2.000, 0.5755, 0.01363, 0.00596,-0.0735,0.5709,0.9649,-1.0202, 0.0000, 0.3723
  3.000, 0.7200, 0.01426, 0.00631,-0.0807,0.5338,1.0000,-1.1706, 0.0000, 0.3557
  4.000, 0.8041, 0.01496, 0.00680,-0.0756,0.5017,1.0000,-1.3015, 0.0000, 0.3364
  5.000, 0.8902, 0.01580, 0.00755,-0.0708,0.4697,1.0000,-1.4663, 0.0000, 0.3207
  6.000, 0.9775, 0.01679, 0.00845,-0.0663,0.4366,1.0000,-1.6819, 0.0000, 0.3078
  7.000, 1.0614, 0.01790, 0.00956,-0.0615,0.3996,1.0000,-1.9474, 0.0000, 0.2965
  8.000, 1.1374, 0.01921, 0.01093,-0.0555,0.3570,1.0000,-2.2492, 0.0000, 0.2860
  9.000, 1.1965, 0.02098, 0.01265,-0.0471,0.3111,1.0000,-2.5608, 0.0000, 0.2751
 10.000, 1.2451, 0.02357, 0.01524,-0.0384,0.2620,1.0000,-2.8814, 0.0000, 0.2650
 11.000, 1.2823, 0.02740, 0.01906,-0.0302,0.2141,1.0000,-3.2015, 0.0000, 0.2560
 12.000, 1.3063, 0.03294, 0.02461,-0.0231,0.1722,1.0000,-3.5069, 0.0000, 0.2483
 13.000, 1.3200, 0.04037, 0.03214,-0.0179,0.1387,1.0000,-3.7908, 0.0000, 0.2421
 14.000, 1.3231, 0.04994, 0.04188,-0.0149,0.1143,1.0000,-4.0456, 0.0000, 0.2377
 15.000, 1.3168, 0.06177, 0.05391,-0.0141,0.0968,1.0000,-4.2684, 0.0000, 0.2349


