xflr5 v6.49

 Calculated polar for: NACA 2322

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000,-0.0133, 0.01381, 0.00563,-0.0394,0.5958,0.4606,-0.9808, 0.0000,-2.8942
 -1.000, 0.0828, 0.01368, 0.00556,-0.0359,0.5533,0.5357,-0.8711, 0.0000, 0.6941
  0.000, 0.1802, 0.01376, 0.00562,-0.0326,0.5111,0.5992,-0.9693, 0.0000, 0.4270
  1.000, 0.2789, 0.01396, 0.00586,-0.0296,0.4771,0.6617,-1.0732, 0.0000, 0.3477
  2.000, 0.3766, 0.01431, 0.00629,-0.0264,0.4461,0.7294,-1.1832, 0.0000, 0.3091
  3.000, 0.4739, 0.01488, 0.00688,-0.0231,0.4209,0.7964,-1.3035, 0.0000, 0.2861
  4.000, 0.5747, 0.01555, 0.00766,-0.0206,0.3988,0.8527,-1.4354, 0.0000, 0.2719
  5.000, 0.6813, 0.01653, 0.00864,-0.0195,0.3793,0.9020,-1.5835, 0.0000, 0.2637
  6.000, 0.7949, 0.01767, 0.00971,-0.0205,0.3595,0.9436,-1.7530, 0.0000, 0.2597
  7.000, 0.9217, 0.01897, 0.01106,-0.0248,0.3414,0.9745,-1.9537, 0.0000, 0.2599
  8.000, 1.0471, 0.02053, 0.01249,-0.0299,0.3201,0.9980,-2.1792, 0.0000, 0.2603
  9.000, 1.0729, 0.02139, 0.01352,-0.0158,0.3059,1.0000,-2.3151, 0.0000, 0.2447
 10.000, 1.1099, 0.02312, 0.01515,-0.0051,0.2882,1.0000,-2.4779, 0.0000, 0.2326
 11.000, 1.1607, 0.02544, 0.01762, 0.0017,0.2698,1.0000,-2.6726, 0.0000, 0.2248
 12.000, 1.2062, 0.02878, 0.02106, 0.0074,0.2510,1.0000,-2.8738, 0.0000, 0.2181
 13.000, 1.2405, 0.03341, 0.02573, 0.0124,0.2312,1.0000,-3.0705, 0.0000, 0.2121
 14.000, 1.2657, 0.03962, 0.03209, 0.0159,0.2117,1.0000,-3.2604, 0.0000, 0.2072
 15.000, 1.2823, 0.04753, 0.04024, 0.0179,0.1935,1.0000,-3.4359, 0.0000, 0.2034


