xflr5 v6.49

 Calculated polar for: NACA 3824

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.103 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -1.000, 0.1215, 0.02169, 0.01267,-0.0822,0.7194,0.4722,-0.9267, 0.0000, 0.9347
  0.000, 0.2625, 0.02097, 0.01192,-0.0871,0.6776,0.5161,-0.9240, 0.0000, 0.5773
  1.000, 0.3901, 0.02089, 0.01179,-0.0895,0.6340,0.5601,-1.0465, 0.0000, 0.4713
  2.000, 0.5017, 0.02130, 0.01217,-0.0891,0.5917,0.6034,-1.1700, 0.0000, 0.4168
  3.000, 0.6016, 0.02203, 0.01291,-0.0864,0.5514,0.6451,-1.2976, 0.0000, 0.3811
  4.000, 0.6929, 0.02300, 0.01389,-0.0823,0.5129,0.6850,-1.4319, 0.0000, 0.3545
  5.000, 0.7764, 0.02419, 0.01511,-0.0770,0.4764,0.7244,-1.5732, 0.0000, 0.3333
  6.000, 0.8560, 0.02557, 0.01650,-0.0713,0.4423,0.7633,-1.7249, 0.0000, 0.3159
  7.000, 0.9315, 0.02712, 0.01801,-0.0655,0.4101,0.8007,-1.8878, 0.0000, 0.3014
  8.000, 0.9998, 0.02881, 0.01966,-0.0589,0.3793,0.8371,-2.0588, 0.0000, 0.2884
  9.000, 1.0547, 0.03075, 0.02164,-0.0507,0.3496,0.8752,-2.2294, 0.0000, 0.2758
 10.000, 1.0959, 0.03329, 0.02444,-0.0415,0.3224,0.9199,-2.3931, 0.0000, 0.2638
 11.000, 1.1403, 0.03645, 0.02781,-0.0354,0.2965,1.0000,-2.5680, 0.0000, 0.2552
 12.000, 1.1920, 0.04136, 0.03272,-0.0328,0.2716,1.0000,-2.7640, 0.0000, 0.2498
 13.000, 1.2325, 0.04724, 0.03854,-0.0299,0.2479,1.0000,-2.9556, 0.0000, 0.2445
 14.000, 1.2469, 0.05602, 0.04765,-0.0273,0.2266,1.0000,-3.0994, 0.0000, 0.2398
 15.000, 1.2556, 0.06613, 0.05803,-0.0260,0.2077,1.0000,-3.2383, 0.0000, 0.2363


