xflr5 v6.49

 Calculated polar for: NACA 2518

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.0303, 0.01263, 0.00486,-0.0610,0.7458,0.4093,-0.8545, 0.0000, 2.3225
 -1.000, 0.1370, 0.01233, 0.00461,-0.0594,0.7039,0.4772,-0.6770, 0.0000, 0.6881
  0.000, 0.2423, 0.01214, 0.00453,-0.0575,0.6594,0.5516,-0.7540, 0.0000, 0.4851
  1.000, 0.3458, 0.01209, 0.00463,-0.0552,0.6148,0.6349,-0.8596, 0.0000, 0.4046
  2.000, 0.4465, 0.01221, 0.00492,-0.0521,0.5684,0.7307,-0.9798, 0.0000, 0.3600
  3.000, 0.5463, 0.01254, 0.00544,-0.0486,0.5218,0.8363,-1.1195, 0.0000, 0.3309
  4.000, 0.6594, 0.01330, 0.00616,-0.0480,0.4732,0.9265,-1.2981, 0.0000, 0.3137
  5.000, 0.7918, 0.01435, 0.00698,-0.0525,0.4198,0.9810,-1.5350, 0.0000, 0.3062
  6.000, 0.9017, 0.01546, 0.00788,-0.0534,0.3671,1.0000,-1.7957, 0.0000, 0.2980
  7.000, 0.9569, 0.01653, 0.00877,-0.0431,0.3221,1.0000,-2.0193, 0.0000, 0.2824
  8.000, 1.0109, 0.01797, 0.01008,-0.0331,0.2787,1.0000,-2.2648, 0.0000, 0.2687
  9.000, 1.0676, 0.02002, 0.01198,-0.0249,0.2367,1.0000,-2.5473, 0.0000, 0.2578
 10.000, 1.1205, 0.02279, 0.01462,-0.0176,0.1978,1.0000,-2.8349, 0.0000, 0.2487
 11.000, 1.1713, 0.02620, 0.01806,-0.0115,0.1641,1.0000,-3.1507, 0.0000, 0.2411
 12.000, 1.2104, 0.03087, 0.02273,-0.0058,0.1383,1.0000,-3.4557, 0.0000, 0.2343
 13.000, 1.2436, 0.03659, 0.02859,-0.0014,0.1170,1.0000,-3.7494, 0.0000, 0.2287
 14.000, 1.2659, 0.04395, 0.03610, 0.0018,0.1014,1.0000,-4.0201, 0.0000, 0.2241
 15.000, 1.2804, 0.05296, 0.04533, 0.0033,0.0889,1.0000,-4.2962, 0.0000, 0.2207


