xflr5 v6.49

 Calculated polar for: NACA 5821

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.2041, 0.02199, 0.01477,-0.1467,0.7949,0.3375,-0.9855, 0.0000, 0.9785
 -1.000, 0.3608, 0.01998, 0.01279,-0.1546,0.7688,0.3872,-0.8086, 0.0000, 0.6786
  0.000, 0.5400, 0.01771, 0.01038,-0.1667,0.7301,0.4392,-0.9444, 0.0000, 0.5551
  1.000, 0.6820, 0.01732, 0.00990,-0.1723,0.6744,0.4892,-1.0705, 0.0000, 0.4969
  2.000, 0.7986, 0.01781, 0.01023,-0.1731,0.6192,0.5359,-1.1941, 0.0000, 0.4591
  3.000, 0.8988, 0.01874, 0.01109,-0.1709,0.5698,0.5801,-1.3206, 0.0000, 0.4308
  4.000, 0.9914, 0.01990, 0.01223,-0.1672,0.5231,0.6219,-1.4581, 0.0000, 0.4077
  5.000, 1.0780, 0.02128, 0.01358,-0.1626,0.4784,0.6610,-1.6111, 0.0000, 0.3883
  6.000, 1.1573, 0.02298, 0.01522,-0.1568,0.4358,0.6973,-1.7778, 0.0000, 0.3714
  7.000, 1.2304, 0.02493, 0.01713,-0.1500,0.3950,0.7282,-1.9636, 0.0000, 0.3562
  8.000, 1.2967, 0.02721, 0.01940,-0.1425,0.3559,0.7522,-2.1645, 0.0000, 0.3426
  9.000, 1.3590, 0.03001, 0.02215,-0.1352,0.3183,0.7759,-2.3829, 0.0000, 0.3305
 10.000, 1.4138, 0.03328, 0.02544,-0.1273,0.2832,0.7982,-2.6126, 0.0000, 0.3192
 11.000, 1.4632, 0.03713, 0.02936,-0.1195,0.2505,0.8161,-2.8524, 0.0000, 0.3091
 12.000, 1.5046, 0.04215, 0.03444,-0.1122,0.2203,0.8333,-3.0921, 0.0000, 0.3000
 13.000, 1.5322, 0.04843, 0.04086,-0.1046,0.1936,0.8491,-3.3265, 0.0000, 0.2916
 14.000, 1.5531, 0.05630, 0.04887,-0.0986,0.1699,0.8634,-3.5475, 0.0000, 0.2847
 15.000, 1.5663, 0.06543, 0.05823,-0.0939,0.1503,0.8767,-3.7681, 0.0000, 0.2789


