xflr5 v6.49

 Calculated polar for: Aerofoil1378

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.3838, 0.01585, 0.00692,-0.1212,0.6674,0.0579,-1.8036, 0.0000, 0.5678
 -1.000, 0.4910, 0.01494, 0.00587,-0.1195,0.6454,0.0908,-1.1983, 0.0000, 0.4934
  0.000, 0.5970, 0.01446, 0.00546,-0.1174,0.6222,0.1563,-0.8156, 0.0000, 0.4454
  1.000, 0.7011, 0.01420, 0.00557,-0.1153,0.5991,0.3000,-0.9676, 0.0000, 0.4119
  3.000, 0.9124, 0.01366, 0.00578,-0.1106,0.5334,1.0000,-1.3584, 0.0000, 0.3663
  4.000, 1.0100, 0.01424, 0.00621,-0.1069,0.4945,1.0000,-1.5873, 0.0000, 0.3497
  5.000, 1.1019, 0.01495, 0.00676,-0.1023,0.4403,1.0000,-1.8342, 0.0000, 0.3354
  6.000, 1.1822, 0.01619, 0.00767,-0.0960,0.3549,1.0000,-2.0906, 0.0000, 0.3224
  7.000, 1.2442, 0.01845, 0.00943,-0.0872,0.2630,1.0000,-2.3390, 0.0000, 0.3099
  8.000, 1.2953, 0.02101, 0.01176,-0.0772,0.2066,1.0000,-2.5838, 0.0000, 0.2980
  9.000, 1.3343, 0.02374, 0.01451,-0.0660,0.1749,1.0000,-2.8158, 0.0000, 0.2863
 10.000, 1.3651, 0.02728, 0.01812,-0.0555,0.1525,1.0000,-3.0497, 0.0000, 0.2759
 11.000, 1.3971, 0.03145, 0.02260,-0.0475,0.1364,1.0000,-3.2846, 0.0000, 0.2676
 12.000, 1.4240, 0.03693, 0.02837,-0.0415,0.1234,1.0000,-3.5629, 0.0000, 0.2609
 13.000, 1.4476, 0.04346, 0.03515,-0.0372,0.1126,1.0000,-3.9176, 0.0000, 0.2555
 14.000, 1.4725, 0.05070, 0.04286,-0.0344,0.1033,1.0000,-4.2957, 0.0000, 0.2512
 15.000, 1.4893, 0.05933, 0.05186,-0.0331,0.0956,1.0000,-4.6499, 0.0000, 0.2479


