xflr5 v6.49

 Calculated polar for: Aerofoil1782

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4738, 0.02497, 0.01842,-0.1450,0.7117,0.0213,-1.2186, 0.0000, 0.5575
  1.000, 0.7931, 0.01375, 0.00524,-0.1404,0.6417,0.0194,-0.9086, 0.0000, 0.4249
  2.000, 0.8973, 0.01308, 0.00419,-0.1389,0.6188,0.0353,-0.9964, 0.0000, 0.4016
  4.000, 1.0967, 0.01238, 0.00494,-0.1349,0.5620,1.0000,-1.3551, 0.0000, 0.3674
  5.000, 1.1893, 0.01306, 0.00562,-0.1315,0.5262,1.0000,-1.5762, 0.0000, 0.3536
  6.000, 1.2759, 0.01387, 0.00651,-0.1270,0.4831,1.0000,-1.8200, 0.0000, 0.3412
  7.000, 1.3481, 0.01501, 0.00768,-0.1199,0.4152,1.0000,-2.0689, 0.0000, 0.3292
  8.000, 1.3754, 0.01730, 0.00960,-0.1049,0.3042,1.0000,-2.4744, 0.0000, 0.3151
  9.000, 1.3942, 0.02061, 0.01274,-0.0905,0.2217,1.0000,-2.9665, 0.0000, 0.3023
 10.000, 1.4118, 0.02477, 0.01694,-0.0785,0.1662,1.0000,-3.6563, 0.0000, 0.2913
 11.000, 1.4280, 0.03001, 0.02232,-0.0690,0.1251,1.0000,-4.7713, 0.0000, 0.2823
 12.000, 1.4423, 0.03654, 0.02905,-0.0620,0.0851,1.0000,-5.9454, 0.0000, 0.2751
 13.000, 1.4341, 0.04651, 0.03891,-0.0565,0.0295,1.0000,-6.8865, 0.0000, 0.2696
 14.000, 1.4249, 0.05841, 0.05120,-0.0539,0.0174,1.0000,-7.8032, 0.0000, 0.2660
 15.000, 1.4130, 0.07251, 0.06593,-0.0545,0.0129,1.0000,-8.6749, 0.0000, 0.2646


