xflr5 v6.49

 Calculated polar for: NACA 5819

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -1.000, 0.3504, 0.02191, 0.01494,-0.1554,0.7983,0.3899,-0.7280, 0.0000, 0.6940
  0.000, 0.5078, 0.01970, 0.01279,-0.1630,0.7692,0.4492,-0.8474, 0.0000, 0.5679
  1.000, 0.6861, 0.01731, 0.01033,-0.1746,0.7216,0.5083,-0.9936, 0.0000, 0.4995
  2.000, 0.8291, 0.01700, 0.00978,-0.1801,0.6562,0.5632,-1.1372, 0.0000, 0.4607
  3.000, 0.9301, 0.01791, 0.01057,-0.1777,0.5940,0.6105,-1.2707, 0.0000, 0.4330
  4.000, 1.0217, 0.01912, 0.01166,-0.1735,0.5376,0.6535,-1.4209, 0.0000, 0.4103
  5.000, 1.1053, 0.02056, 0.01304,-0.1679,0.4834,0.6913,-1.5916, 0.0000, 0.3910
  6.000, 1.1806, 0.02233, 0.01469,-0.1610,0.4317,0.7231,-1.7842, 0.0000, 0.3739
  7.000, 1.2549, 0.02425, 0.01657,-0.1543,0.3828,0.7507,-2.0082, 0.0000, 0.3590
  8.000, 1.3237, 0.02665, 0.01884,-0.1473,0.3332,0.7766,-2.2541, 0.0000, 0.3458
  9.000, 1.3819, 0.02941, 0.02157,-0.1388,0.2884,0.7975,-2.5129, 0.0000, 0.3333
 10.000, 1.4395, 0.03261, 0.02476,-0.1312,0.2453,0.8165,-2.7962, 0.0000, 0.3223
 11.000, 1.4845, 0.03688, 0.02900,-0.1228,0.2067,0.8355,-3.0762, 0.0000, 0.3120
 12.000, 1.5196, 0.04199, 0.03417,-0.1141,0.1746,0.8515,-3.3570, 0.0000, 0.3025
 13.000, 1.5512, 0.04830, 0.04063,-0.1069,0.1482,0.8656,-3.6413, 0.0000, 0.2944
 14.000, 1.5690, 0.05624, 0.04876,-0.1002,0.1274,0.8815,-3.9093, 0.0000, 0.2873
 15.000, 1.5769, 0.06628, 0.05902,-0.0955,0.1103,0.8939,-4.1492, 0.0000, 0.2817


