xflr5 v6.49

 Calculated polar for: Aerofoil1375

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4050, 0.01515, 0.00615,-0.1436,0.7313,0.0730,-1.5032, 0.0000, 0.6071
 -1.000, 0.5110, 0.01444, 0.00536,-0.1426,0.7110,0.1192,-0.9297, 0.0000, 0.5298
  0.000, 0.6184, 0.01403, 0.00497,-0.1417,0.6898,0.2069,-0.8524, 0.0000, 0.4786
  1.000, 0.7177, 0.01350, 0.00531,-0.1398,0.6717,0.4997,-0.9135, 0.0000, 0.4431
  3.000, 0.9331, 0.01408, 0.00634,-0.1382,0.6391,1.0000,-1.0487, 0.0000, 0.3943
  4.000, 1.0346, 0.01492, 0.00722,-0.1365,0.6237,1.0000,-1.1577, 0.0000, 0.3769
  5.000, 1.1309, 0.01593, 0.00847,-0.1338,0.6059,1.0000,-1.6129, 0.0000, 0.3622
  6.000, 1.2194, 0.01624, 0.00899,-0.1289,0.5664,1.0000,-2.1995, 0.0000, 0.3482
  7.000, 1.2954, 0.01673, 0.00961,-0.1215,0.5086,1.0000,-2.8208, 0.0000, 0.3350
  8.000, 1.2770, 0.01957, 0.01149,-0.0982,0.3007,1.0000,-3.1435, 0.0000, 0.3167
  9.000, 1.2244, 0.02710, 0.01797,-0.0772,0.1259,1.0000,-3.3332, 0.0000, 0.3015
 10.000, 1.2324, 0.03353, 0.02432,-0.0678,0.0751,1.0000,-3.7581, 0.0000, 0.2919
 11.000, 1.2487, 0.04058, 0.03149,-0.0612,0.0456,1.0000,-4.2025, 0.0000, 0.2843
 12.000, 1.2649, 0.04871, 0.03979,-0.0563,0.0326,1.0000,-4.6285, 0.0000, 0.2780
 13.000, 1.2872, 0.05723, 0.04864,-0.0530,0.0266,1.0000,-5.0763, 0.0000, 0.2729
 14.000, 1.3183, 0.06573, 0.05759,-0.0507,0.0228,1.0000,-5.5534, 0.0000, 0.2683
 15.000, 1.3517, 0.07493, 0.06716,-0.0493,0.0207,1.0000,-6.1036, 0.0000, 0.2644


