xflr5 v6.49

 Calculated polar for: NACA 4723

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.0754, 0.02162, 0.01333,-0.1008,0.7569,0.3654,-1.0871, 0.0000, 1.6237
  0.000, 0.3473, 0.01878, 0.01054,-0.1079,0.6926,0.4543,-0.9406, 0.0000, 0.5569
  1.000, 0.4940, 0.01789, 0.00954,-0.1135,0.6509,0.5029,-1.0695, 0.0000, 0.4728
  2.000, 0.6147, 0.01811, 0.00964,-0.1149,0.6071,0.5494,-1.1928, 0.0000, 0.4278
  3.000, 0.7138, 0.01887, 0.01039,-0.1125,0.5658,0.5941,-1.3126, 0.0000, 0.3966
  4.000, 0.8055, 0.01989, 0.01138,-0.1089,0.5266,0.6376,-1.4392, 0.0000, 0.3725
  5.000, 0.8904, 0.02112, 0.01259,-0.1044,0.4894,0.6797,-1.5738, 0.0000, 0.3528
  6.000, 0.9711, 0.02253, 0.01397,-0.0994,0.4538,0.7189,-1.7194, 0.0000, 0.3363
  7.000, 1.0459, 0.02415, 0.01558,-0.0938,0.4197,0.7564,-1.8753, 0.0000, 0.3220
  8.000, 1.1141, 0.02605, 0.01752,-0.0877,0.3871,0.7955,-2.0423, 0.0000, 0.3093
  9.000, 1.1736, 0.02827, 0.01991,-0.0806,0.3564,0.8466,-2.2161, 0.0000, 0.2975
 10.000, 1.2231, 0.03061, 0.02247,-0.0727,0.3273,1.0000,-2.3925, 0.0000, 0.2865
 11.000, 1.2792, 0.03436, 0.02618,-0.0678,0.2987,1.0000,-2.5911, 0.0000, 0.2783
 12.000, 1.3254, 0.03898, 0.03081,-0.0625,0.2720,1.0000,-2.7920, 0.0000, 0.2705
 13.000, 1.3607, 0.04471, 0.03659,-0.0571,0.2471,1.0000,-2.9879, 0.0000, 0.2633
 14.000, 1.3855, 0.05187, 0.04383,-0.0524,0.2240,1.0000,-3.1711, 0.0000, 0.2569
 15.000, 1.4010, 0.06051, 0.05250,-0.0487,0.2024,1.0000,-3.3477, 0.0000, 0.2515


