xflr5 v6.49

 Calculated polar for: Aerofoil1835

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4245, 0.01810, 0.00968,-0.1439,0.7361,0.0394,-1.8112, 0.0000, 0.5908
 -1.000, 0.5334, 0.01580, 0.00681,-0.1429,0.7105,0.0497,-1.3459, 0.0000, 0.5182
  0.000, 0.6420, 0.01472, 0.00559,-0.1420,0.6862,0.0724,-0.8996, 0.0000, 0.4700
  1.000, 0.7449, 0.01421, 0.00540,-0.1401,0.6619,0.1789,-0.8930, 0.0000, 0.4358
  3.000, 0.9529, 0.01375, 0.00602,-0.1360,0.6171,1.0000,-1.1584, 0.0000, 0.3883
  4.000, 1.0492, 0.01437, 0.00655,-0.1326,0.5860,1.0000,-1.3512, 0.0000, 0.3707
  5.000, 1.1429, 0.01501, 0.00708,-0.1287,0.5465,1.0000,-1.5712, 0.0000, 0.3556
  6.000, 1.2315, 0.01582, 0.00791,-0.1240,0.5059,1.0000,-1.8127, 0.0000, 0.3424
  7.000, 1.3062, 0.01682, 0.00903,-0.1168,0.4476,1.0000,-2.0578, 0.0000, 0.3298
  8.000, 1.3489, 0.01857, 0.01048,-0.1042,0.3531,1.0000,-2.4470, 0.0000, 0.3162
  9.000, 1.3619, 0.02193, 0.01340,-0.0885,0.2586,1.0000,-2.8209, 0.0000, 0.3026
 10.000, 1.3783, 0.02621, 0.01757,-0.0762,0.2015,1.0000,-3.2129, 0.0000, 0.2913
 11.000, 1.4021, 0.03111, 0.02262,-0.0673,0.1672,1.0000,-3.6549, 0.0000, 0.2824
 12.000, 1.4210, 0.03727, 0.02889,-0.0603,0.1365,1.0000,-4.1038, 0.0000, 0.2750
 13.000, 1.4367, 0.04467, 0.03645,-0.0554,0.1105,1.0000,-4.5472, 0.0000, 0.2693
 14.000, 1.4566, 0.05270, 0.04482,-0.0525,0.0874,1.0000,-5.0090, 0.0000, 0.2648
 15.000, 1.4641, 0.06315, 0.05558,-0.0514,0.0637,1.0000,-5.4018, 0.0000, 0.2617


