xflr5 v6.49

 Calculated polar for: NACA 2023

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000,-0.0318, 0.01590, 0.00720,-0.0136,0.6246,0.5303,-0.8762, 0.0000,-0.2681
 -1.000, 0.0661, 0.01583, 0.00719,-0.0104,0.5805,0.5756,-0.8475, 0.0000, 0.4257
  0.000, 0.1638, 0.01594, 0.00726,-0.0071,0.5381,0.6249,-0.9638, 0.0000, 0.2904
  1.000, 0.2612, 0.01617, 0.00760,-0.0039,0.4979,0.6760,-1.0925, 0.0000, 0.2558
  2.000, 0.3570, 0.01658, 0.00811,-0.0004,0.4584,0.7292,-1.2348, 0.0000, 0.2390
  3.000, 0.4513, 0.01724, 0.00879, 0.0033,0.4212,0.7836,-1.3923, 0.0000, 0.2284
  4.000, 0.5447, 0.01813, 0.00978, 0.0070,0.3855,0.8366,-1.5666, 0.0000, 0.2211
  5.000, 0.6381, 0.01930, 0.01097, 0.0103,0.3506,0.8857,-1.7598, 0.0000, 0.2163
  6.000, 0.7326, 0.02081, 0.01243, 0.0125,0.3173,0.9300,-1.9754, 0.0000, 0.2138
  7.000, 0.8374, 0.02272, 0.01426, 0.0112,0.2852,0.9664,-2.2275, 0.0000, 0.2160
  8.000, 0.9545, 0.02502, 0.01660, 0.0059,0.2533,0.9931,-2.5170, 0.0000, 0.2219
  9.000, 0.9832, 0.02711, 0.01865, 0.0157,0.2307,1.0001,-2.7005, 0.0000, 0.2098
 10.000, 0.9931, 0.02988, 0.02141, 0.0278,0.2122,1.0001,-2.8559, 0.0000, 0.1952
 11.000, 1.0158, 0.03400, 0.02551, 0.0351,0.1929,1.0001,-3.0484, 0.0000, 0.1861
 12.000, 1.0411, 0.03938, 0.03095, 0.0394,0.1758,1.0001,-3.2407, 0.0000, 0.1803
 13.000, 1.0629, 0.04614, 0.03794, 0.0417,0.1599,1.0001,-3.4199, 0.0000, 0.1763
 14.000, 1.0766, 0.05463, 0.04661, 0.0423,0.1463,1.0001,-3.5911, 0.0000, 0.1735
 15.000, 1.0850, 0.06432, 0.05636, 0.0416,0.1346,1.0001,-3.7518, 0.0000, 0.1717


