xflr5 v6.49

 Calculated polar for: NACA 3814

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.0736, 0.01888, 0.01128,-0.1027,0.9370,0.4438,-0.7987, 0.0000, 1.6629
 -1.000, 0.2047, 0.01813, 0.01085,-0.1062,0.9124,0.5329,-0.5646, 0.0000, 0.7711
  0.000, 0.3282, 0.01716, 0.01025,-0.1075,0.8789,0.6138,-0.5908, 0.0000, 0.5760
  1.000, 0.4281, 0.01642, 0.00978,-0.1035,0.8120,0.6833,-0.6964, 0.0000, 0.4887
  2.000, 0.6078, 0.01399, 0.00728,-0.1134,0.7444,0.7434,-0.9012, 0.0000, 0.4325
  3.000, 0.7667, 0.01426, 0.00702,-0.1213,0.6245,0.7873,-1.1758, 0.0000, 0.4032
  4.000, 0.8600, 0.01545, 0.00784,-0.1169,0.5156,0.8264,-1.4503, 0.0000, 0.3798
  5.000, 0.9362, 0.01665, 0.00870,-0.1092,0.4146,0.8620,-1.7578, 0.0000, 0.3594
  7.000, 1.0761, 0.01977, 0.01127,-0.0934,0.2258,1.0000,-2.4913, 0.0000, 0.3273
  8.000, 1.1567, 0.02258, 0.01378,-0.0894,0.1521,1.0000,-2.9674, 0.0000, 0.3166
  9.000, 1.2277, 0.02574, 0.01682,-0.0839,0.1070,1.0000,-3.4406, 0.0000, 0.3062
 10.000, 1.2878, 0.02938, 0.02057,-0.0770,0.0805,1.0000,-3.9005, 0.0000, 0.2963
 11.000, 1.3351, 0.03383, 0.02524,-0.0690,0.0659,1.0000,-4.4017, 0.0000, 0.2867
 12.000, 1.3699, 0.03934, 0.03105,-0.0610,0.0552,1.0000,-4.8749, 0.0000, 0.2778
 13.000, 1.3892, 0.04652, 0.03852,-0.0535,0.0479,1.0000,-5.2944, 0.0000, 0.2701
 14.000, 1.4022, 0.05538, 0.04794,-0.0483,0.0433,1.0000,-5.6633, 0.0000, 0.2641
 15.000, 1.4027, 0.06684, 0.05995,-0.0462,0.0396,1.0000,-5.9695, 0.0000, 0.2606


