xflr5 v6.49

 Calculated polar for: Aerofoil1039

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4366, 0.01571, 0.00675,-0.1449,0.7133,0.0628,-1.6760, 0.0000, 0.5845
 -1.000, 0.5426, 0.01491, 0.00582,-0.1433,0.6919,0.1012,-1.0940, 0.0000, 0.5149
  0.000, 0.6444, 0.01460, 0.00570,-0.1411,0.6734,0.1736,-0.8679, 0.0000, 0.4683
  1.000, 0.7490, 0.01436, 0.00588,-0.1395,0.6571,0.3508,-0.9329, 0.0000, 0.4343
  3.000, 0.9635, 0.01431, 0.00665,-0.1367,0.6148,1.0000,-1.3477, 0.0000, 0.3874
  4.000, 1.0506, 0.01468, 0.00694,-0.1309,0.5754,1.0000,-1.6819, 0.0000, 0.3689
  5.000, 1.1269, 0.01520, 0.00745,-0.1232,0.5174,1.0000,-2.0334, 0.0000, 0.3523
  6.000, 1.1050, 0.01848, 0.00917,-0.0984,0.2366,1.0000,-2.2015, 0.0000, 0.3307
  7.000, 1.0920, 0.02345, 0.01342,-0.0798,0.1099,1.0000,-2.3920, 0.0000, 0.3134
  8.000, 1.1149, 0.02773, 0.01778,-0.0691,0.0870,1.0000,-2.6627, 0.0000, 0.3009
  9.000, 1.1355, 0.03320, 0.02334,-0.0605,0.0754,1.0000,-2.9284, 0.0000, 0.2906
 10.000, 1.1708, 0.03845, 0.02878,-0.0545,0.0661,1.0000,-3.2686, 0.0000, 0.2823
 11.000, 1.2143, 0.04379, 0.03427,-0.0497,0.0596,1.0000,-3.6291, 0.0000, 0.2749
 12.000, 1.2649, 0.04896, 0.03962,-0.0461,0.0536,1.0000,-4.0304, 0.0000, 0.2687
 13.000, 1.3248, 0.05427, 0.04523,-0.0432,0.0489,1.0000,-4.4975, 0.0000, 0.2631
 14.000, 1.3748, 0.06075, 0.05221,-0.0408,0.0448,1.0000,-4.9330, 0.0000, 0.2582
 15.000, 1.4113, 0.06882, 0.06058,-0.0392,0.0414,1.0000,-5.3483, 0.0000, 0.2543


