xflr5 v6.49

 Calculated polar for: Aerofoil1769

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.3832, 0.01356, 0.00571,-0.1343,0.7818,0.0615,-1.6018, 0.0000, 0.6030
 -1.000, 0.4932, 0.01263, 0.00468,-0.1337,0.7599,0.1014,-0.9806, 0.0000, 0.5216
  0.000, 0.6008, 0.01216, 0.00432,-0.1329,0.7355,0.1730,-0.7681, 0.0000, 0.4704
  1.000, 0.7087, 0.01172, 0.00422,-0.1322,0.7107,0.3320,-0.8394, 0.0000, 0.4346
  3.000, 0.9247, 0.01108, 0.00438,-0.1301,0.6530,1.0000,-1.1058, 0.0000, 0.3865
  4.000, 1.0233, 0.01164, 0.00481,-0.1275,0.6048,1.0000,-1.2820, 0.0000, 0.3693
  5.000, 1.1202, 0.01240, 0.00552,-0.1248,0.5605,1.0000,-1.4815, 0.0000, 0.3549
  6.000, 1.2087, 0.01341, 0.00648,-0.1207,0.5057,1.0000,-1.8301, 0.0000, 0.3420
  7.000, 1.2683, 0.01510, 0.00791,-0.1116,0.4034,1.0000,-2.4648, 0.0000, 0.3289
  8.000, 1.2615, 0.01899, 0.01089,-0.0930,0.2472,1.0000,-2.8669, 0.0000, 0.3133
  9.000, 1.2832, 0.02335, 0.01480,-0.0818,0.1508,1.0000,-3.3671, 0.0000, 0.3019
 10.000, 1.2800, 0.03078, 0.02130,-0.0705,0.0194,1.0000,-3.7091, 0.0000, 0.2917
 11.000, 1.3133, 0.03653, 0.02748,-0.0643,0.0149,1.0000,-4.2588, 0.0000, 0.2839
 12.000, 1.3377, 0.04379, 0.03527,-0.0593,0.0129,1.0000,-4.7985, 0.0000, 0.2775
 13.000, 1.3384, 0.05466, 0.04663,-0.0560,0.0118,1.0000,-5.2089, 0.0000, 0.2732
 14.000, 1.3425, 0.06680, 0.05927,-0.0553,0.0114,1.0000,-5.6082, 0.0000, 0.2706
 15.000, 1.3505, 0.07982, 0.07271,-0.0563,0.0110,1.0000,-6.0049, 0.0000, 0.2690


