xflr5 v6.49

 Calculated polar for: NACA 3917

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.103 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.0080, 0.02186, 0.01358,-0.0939,0.8910,0.4690,-0.8920, 0.0000,12.2222
 -1.000, 0.1550, 0.02057, 0.01252,-0.0998,0.8596,0.5402,-0.6764, 0.0000, 0.8965
  0.000, 0.2979, 0.01939, 0.01157,-0.1041,0.8179,0.6066,-0.6754, 0.0000, 0.5969
  1.000, 0.4532, 0.01829, 0.01050,-0.1104,0.7636,0.6687,-0.8200, 0.0000, 0.4891
  2.000, 0.5907, 0.01817, 0.01026,-0.1132,0.6908,0.7195,-0.9815, 0.0000, 0.4359
  3.000, 0.7058, 0.01881, 0.01065,-0.1121,0.6152,0.7630,-1.1626, 0.0000, 0.4020
  4.000, 0.7887, 0.01983, 0.01154,-0.1046,0.5435,0.8000,-1.3514, 0.0000, 0.3746
  5.000, 0.8665, 0.02100, 0.01254,-0.0968,0.4753,0.8365,-1.5703, 0.0000, 0.3525
  6.000, 0.9439, 0.02241, 0.01375,-0.0898,0.4091,0.8721,-1.8238, 0.0000, 0.3347
  7.000, 1.0072, 0.02381, 0.01503,-0.0804,0.3478,0.9061,-2.0890, 0.0000, 0.3182
  8.000, 1.0645, 0.02527, 0.01644,-0.0709,0.2902,0.9394,-2.3730, 0.0000, 0.3037
 10.000, 1.1690, 0.02997, 0.02119,-0.0543,0.1937,1.0000,-2.9915, 0.0000, 0.2807
 11.000, 1.2238, 0.03456, 0.02591,-0.0494,0.1577,1.0000,-3.3387, 0.0000, 0.2731
 12.000, 1.2643, 0.04047, 0.03202,-0.0445,0.1313,1.0000,-3.6650, 0.0000, 0.2662
 13.000, 1.2933, 0.04801, 0.03982,-0.0409,0.1123,1.0000,-3.9755, 0.0000, 0.2607
 14.000, 1.3133, 0.05727, 0.04946,-0.0390,0.0981,1.0000,-4.2531, 0.0000, 0.2568
 15.000, 1.3234, 0.06842, 0.06100,-0.0390,0.0875,1.0000,-4.5027, 0.0000, 0.2545


