xflr5 v6.49

 Calculated polar for: NACA 1514

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000,-0.1036, 0.01268, 0.00525,-0.0327,0.8672,0.5244,-0.7959, 0.0000,-0.0779
 -1.000, 0.0102, 0.01196, 0.00482,-0.0317,0.8217,0.6315,-0.5917, 0.0000, 3.3937
  0.000, 0.1187, 0.01157, 0.00468,-0.0291,0.7655,0.7417,-0.5378, 0.0000, 0.4941
  1.000, 0.2299, 0.01161, 0.00480,-0.0268,0.7003,0.8448,-0.6588, 0.0000, 0.3628
  2.000, 0.3534, 0.01207, 0.00506,-0.0274,0.6267,0.9220,-0.8270, 0.0000, 0.3228
  3.000, 0.4939, 0.01276, 0.00541,-0.0327,0.5409,0.9702,-1.0762, 0.0000, 0.3107
  4.000, 0.6377, 0.01361, 0.00591,-0.0398,0.4442,1.0000,-1.4112, 0.0000, 0.3063
  5.000, 0.7154, 0.01463, 0.00657,-0.0337,0.3580,1.0000,-1.7189, 0.0000, 0.2900
  6.000, 0.7906, 0.01604, 0.00765,-0.0272,0.2725,1.0000,-2.0776, 0.0000, 0.2763
  7.000, 0.8639, 0.01788, 0.00912,-0.0208,0.1961,1.0000,-2.4592, 0.0000, 0.2648
  8.000, 0.9366, 0.02009, 0.01114,-0.0147,0.1379,1.0000,-2.9111, 0.0000, 0.2553
  9.000, 1.0049, 0.02267, 0.01365,-0.0085,0.1016,1.0000,-3.3756, 0.0000, 0.2468
 10.000, 1.0627, 0.02557, 0.01671,-0.0011,0.0784,1.0000,-3.8263, 0.0000, 0.2381
 11.000, 1.1076, 0.02940, 0.02074, 0.0066,0.0653,1.0000,-4.2738, 0.0000, 0.2297
 12.000, 1.1428, 0.03452, 0.02610, 0.0129,0.0558,1.0000,-4.7321, 0.0000, 0.2227
 13.000, 1.1677, 0.04116, 0.03307, 0.0170,0.0482,1.0000,-5.1589, 0.0000, 0.2177
 14.000, 1.1834, 0.04986, 0.04227, 0.0192,0.0438,1.0000,-5.5149, 0.0000, 0.2141
 15.000, 1.1839, 0.06119, 0.05412, 0.0184,0.0401,1.0000,-5.7872, 0.0000, 0.2127


