xflr5 v6.49

 Calculated polar for: Aerofoil1369

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.2951, 0.01388, 0.00644,-0.1191,0.8677,0.0534,-1.8472, 0.0000, 0.6560
 -1.000, 0.4320, 0.01238, 0.00489,-0.1234,0.8434,0.0906,-1.1146, 0.0000, 0.5359
  0.000, 0.5689, 0.01133, 0.00384,-0.1275,0.7946,0.1658,-0.7786, 0.0000, 0.4731
  1.000, 0.6904, 0.01080, 0.00341,-0.1287,0.7167,0.3266,-0.9432, 0.0000, 0.4342
  3.000, 0.8849, 0.01121, 0.00386,-0.1212,0.5173,1.0000,-1.2834, 0.0000, 0.3828
  4.000, 0.9629, 0.01253, 0.00460,-0.1142,0.4143,1.0000,-1.4598, 0.0000, 0.3633
  5.000, 1.0356, 0.01411, 0.00567,-0.1067,0.3218,1.0000,-1.6467, 0.0000, 0.3465
  6.000, 1.1063, 0.01569, 0.00698,-0.0990,0.2611,1.0000,-1.8432, 0.0000, 0.3318
  7.000, 1.1792, 0.01725, 0.00854,-0.0920,0.2243,1.0000,-2.0644, 0.0000, 0.3191
  8.000, 1.2490, 0.01903, 0.01041,-0.0849,0.1954,1.0000,-2.6093, 0.0000, 0.3078
  9.000, 1.3095, 0.02113, 0.01247,-0.0770,0.1559,1.0000,-3.2821, 0.0000, 0.2972
 10.000, 1.3660, 0.02362, 0.01497,-0.0692,0.1118,1.0000,-3.9421, 0.0000, 0.2875
 11.000, 1.3775, 0.02976, 0.02052,-0.0574,0.0181,1.0000,-4.3859, 0.0000, 0.2770
 12.000, 1.4024, 0.03524, 0.02656,-0.0487,0.0146,1.0000,-4.9226, 0.0000, 0.2685
 13.000, 1.4086, 0.04293, 0.03489,-0.0415,0.0129,1.0000,-5.3927, 0.0000, 0.2614
 14.000, 1.3817, 0.05571, 0.04835,-0.0380,0.0120,1.0000,-5.6524, 0.0000, 0.2575
 15.000, 1.3446, 0.07368, 0.06697,-0.0414,0.0118,1.0000,-5.7902, 0.0000, 0.2588


