xflr5 v6.49

 Calculated polar for: Aerofoil1799

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4957, 0.01449, 0.00603,-0.1726,0.7351,0.1478,-1.0687, 0.0000, 0.6001
 -1.000, 0.6059, 0.01438, 0.00589,-0.1716,0.7086,0.1958,-0.7833, 0.0000, 0.5333
  0.000, 0.7154, 0.01476, 0.00615,-0.1701,0.6833,0.2441,-0.8552, 0.0000, 0.4865
  1.000, 0.8217, 0.01526, 0.00660,-0.1680,0.6594,0.2821,-0.9306, 0.0000, 0.4520
  2.000, 0.9260, 0.01580, 0.00720,-0.1657,0.6364,0.3123,-1.0506, 0.0000, 0.4253
  3.000, 1.0321, 0.01628, 0.00767,-0.1637,0.6135,0.3381,-1.2320, 0.0000, 0.4039
  4.000, 1.1290, 0.01653, 0.00797,-0.1598,0.5753,0.3601,-1.4356, 0.0000, 0.3855
  5.000, 1.2241, 0.01700, 0.00856,-0.1557,0.5379,0.3812,-1.6673, 0.0000, 0.3699
  6.000, 1.3132, 0.01753, 0.00935,-0.1505,0.4920,0.4028,-1.9211, 0.0000, 0.3560
  7.000, 1.3884, 0.01845, 0.01033,-0.1429,0.4209,0.4246,-2.2828, 0.0000, 0.3429
  8.000, 1.4240, 0.02071, 0.01216,-0.1290,0.3066,0.4480,-2.7180, 0.0000, 0.3291
  9.000, 1.4419, 0.02419, 0.01544,-0.1140,0.2276,0.4854,-3.1279, 0.0000, 0.3162
 11.000, 1.4849, 0.03330, 0.02509,-0.0928,0.1479,1.0000,-4.0296, 0.0000, 0.2964
 12.000, 1.5061, 0.03968, 0.03160,-0.0859,0.1190,1.0000,-4.4962, 0.0000, 0.2891
 13.000, 1.5210, 0.04763, 0.03970,-0.0808,0.0934,1.0000,-4.9408, 0.0000, 0.2834
 14.000, 1.5366, 0.05665, 0.04902,-0.0777,0.0693,1.0000,-5.3763, 0.0000, 0.2788
 15.000, 1.5311, 0.06956, 0.06206,-0.0768,0.0406,1.0000,-5.6872, 0.0000, 0.2763


