xflr5 v6.49

 Calculated polar for: Aerofoil1869

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4141, 0.01270, 0.00462,-0.1512,0.7934,0.0690,-1.4358, 0.0000, 0.6172
 -1.000, 0.5262, 0.01205, 0.00386,-0.1514,0.7634,0.1156,-0.8512, 0.0000, 0.5382
  0.000, 0.6325, 0.01174, 0.00360,-0.1505,0.7324,0.1978,-0.7918, 0.0000, 0.4871
  1.000, 0.7339, 0.01144, 0.00374,-0.1488,0.7059,0.3940,-0.8557, 0.0000, 0.4508
  3.000, 0.9567, 0.01145, 0.00444,-0.1488,0.6540,1.0000,-1.0162, 0.0000, 0.4016
  4.000, 1.0473, 0.01208, 0.00516,-0.1447,0.6282,1.0000,-1.1740, 0.0000, 0.3831
  5.000, 1.1307, 0.01273, 0.00578,-0.1387,0.5848,1.0000,-1.6514, 0.0000, 0.3665
  6.000, 1.1795, 0.01358, 0.00646,-0.1256,0.5053,1.0000,-2.2630, 0.0000, 0.3490
  7.000, 1.1687, 0.01655, 0.00837,-0.1026,0.2982,1.0000,-2.6436, 0.0000, 0.3291
  9.000, 1.1561, 0.02768, 0.01806,-0.0694,0.0149,1.0000,-3.3731, 0.0000, 0.2988
 10.000, 1.1840, 0.03278, 0.02361,-0.0607,0.0123,1.0000,-3.9183, 0.0000, 0.2886
 11.000, 1.1984, 0.03967, 0.03096,-0.0530,0.0114,1.0000,-4.3794, 0.0000, 0.2799
 12.000, 1.2112, 0.04781, 0.03946,-0.0471,0.0109,1.0000,-4.8148, 0.0000, 0.2730
 13.000, 1.2393, 0.05575, 0.04773,-0.0431,0.0105,1.0000,-5.2999, 0.0000, 0.2671
 14.000, 1.2844, 0.06337, 0.05578,-0.0402,0.0101,1.0000,-5.8442, 0.0000, 0.2619
 15.000, 1.3143, 0.07324, 0.06626,-0.0386,0.0095,1.0000,-6.4360, 0.0000, 0.2581


