xflr5 v6.49

 Calculated polar for: Aerofoil1787

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4038, 0.02489, 0.01770,-0.1319,0.7359,0.0427,-1.1792, 0.0000, 0.5781
 -1.000, 0.5151, 0.02013, 0.01191,-0.1305,0.7110,0.0372,-0.9952, 0.0000, 0.5036
  0.000, 0.6276, 0.01673, 0.00765,-0.1285,0.6875,0.0247,-0.9325, 0.0000, 0.4539
  1.000, 0.7263, 0.01495, 0.00576,-0.1258,0.6632,0.0319,-0.8789, 0.0000, 0.4212
  2.000, 0.8271, 0.01287, 0.00532,-0.1237,0.6418,1.0000,-0.9574, 0.0000, 0.3964
  3.000, 0.9313, 0.01356, 0.00556,-0.1226,0.6192,1.0000,-1.1188, 0.0000, 0.3773
  4.000, 1.0269, 0.01428, 0.00626,-0.1200,0.5923,1.0000,-1.3036, 0.0000, 0.3614
  5.000, 1.1189, 0.01486, 0.00679,-0.1164,0.5519,1.0000,-1.5178, 0.0000, 0.3473
  6.000, 1.2063, 0.01564, 0.00770,-0.1123,0.5127,1.0000,-1.7544, 0.0000, 0.3349
  7.000, 1.2815, 0.01661, 0.00888,-0.1059,0.4602,1.0000,-2.0023, 0.0000, 0.3231
  8.000, 1.3249, 0.01816, 0.01036,-0.0938,0.3707,1.0000,-2.3830, 0.0000, 0.3098
  9.000, 1.3338, 0.02144, 0.01329,-0.0776,0.2689,1.0000,-2.8195, 0.0000, 0.2957
 10.000, 1.3436, 0.02589, 0.01769,-0.0649,0.2058,1.0000,-3.2679, 0.0000, 0.2842
 11.000, 1.3596, 0.03118, 0.02317,-0.0557,0.1614,1.0000,-3.7605, 0.0000, 0.2752
 12.000, 1.3735, 0.03769, 0.02992,-0.0491,0.1234,1.0000,-4.5176, 0.0000, 0.2681
 13.000, 1.3847, 0.04557, 0.03808,-0.0447,0.0852,1.0000,-5.4814, 0.0000, 0.2627
 14.000, 1.3775, 0.05681, 0.04935,-0.0422,0.0376,1.0000,-6.2703, 0.0000, 0.2590
 15.000, 1.3598, 0.07130, 0.06424,-0.0426,0.0250,1.0000,-6.9160, 0.0000, 0.2576


