xflr5 v6.49

 Calculated polar for: Aerofoil1274

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.103 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.3286, 0.01848, 0.00935,-0.1258,0.8014,0.0796,-1.5661, 0.0000, 0.6353
 -1.000, 0.4385, 0.01702, 0.00763,-0.1249,0.7735,0.1288,-0.9934, 0.0000, 0.5354
  0.000, 0.5482, 0.01621, 0.00692,-0.1241,0.7485,0.2241,-0.7157, 0.0000, 0.4756
  2.000, 0.7659, 0.01506, 0.00674,-0.1218,0.6936,1.0000,-0.9152, 0.0000, 0.4062
  3.000, 0.8683, 0.01583, 0.00735,-0.1198,0.6641,1.0000,-1.0701, 0.0000, 0.3842
  4.000, 0.9702, 0.01646, 0.00793,-0.1174,0.6282,1.0000,-1.2504, 0.0000, 0.3661
  5.000, 1.0708, 0.01699, 0.00844,-0.1145,0.5836,1.0000,-1.4580, 0.0000, 0.3508
  6.000, 1.1625, 0.01790, 0.00963,-0.1105,0.5347,1.0000,-1.9374, 0.0000, 0.3378
  7.000, 1.2454, 0.01900, 0.01096,-0.1049,0.4673,1.0000,-2.6762, 0.0000, 0.3257
  8.000, 1.2839, 0.02160, 0.01293,-0.0926,0.3132,1.0000,-3.2734, 0.0000, 0.3122
  9.000, 1.2897, 0.02606, 0.01683,-0.0777,0.1986,1.0000,-3.7132, 0.0000, 0.2989
 10.000, 1.2981, 0.03206, 0.02236,-0.0668,0.0899,1.0000,-4.0993, 0.0000, 0.2887
 11.000, 1.2932, 0.04110, 0.03098,-0.0582,0.0243,1.0000,-4.4351, 0.0000, 0.2807
 12.000, 1.2989, 0.05063, 0.04115,-0.0535,0.0209,1.0000,-4.8169, 0.0000, 0.2751
 13.000, 1.2926, 0.06303, 0.05425,-0.0519,0.0197,1.0000,-5.1076, 0.0000, 0.2723
 14.000, 1.2856, 0.07752, 0.06939,-0.0532,0.0188,1.0000,-5.3655, 0.0000, 0.2717
 15.000, 1.2893, 0.09204, 0.08448,-0.0559,0.0175,1.0000,-5.6737, 0.0000, 0.2717


