xflr5 v6.49

 Calculated polar for: NACA 5622

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.2015, 0.02198, 0.01348,-0.1233,0.7479,0.3176,-1.0570, 0.0000, 0.8746
 -1.000, 0.3421, 0.02036, 0.01185,-0.1276,0.7341,0.3655,-0.9090, 0.0000, 0.6248
  0.000, 0.4441, 0.02018, 0.01180,-0.1258,0.7060,0.4113,-0.9946, 0.0000, 0.5303
  1.000, 0.5568, 0.01981, 0.01155,-0.1257,0.6764,0.4627,-1.0940, 0.0000, 0.4696
  2.000, 0.6739, 0.01950, 0.01123,-0.1262,0.6434,0.5174,-1.2050, 0.0000, 0.4289
  3.000, 0.7900, 0.01942, 0.01109,-0.1266,0.6076,0.5719,-1.3255, 0.0000, 0.4000
  4.000, 0.8869, 0.02013, 0.01177,-0.1240,0.5707,0.6257,-1.4425, 0.0000, 0.3779
  5.000, 0.9743, 0.02123, 0.01287,-0.1202,0.5349,0.6797,-1.5635, 0.0000, 0.3597
  6.000, 1.0528, 0.02253, 0.01431,-0.1150,0.5008,0.7475,-1.6900, 0.0000, 0.3439
  7.000, 1.1151, 0.02364, 0.01575,-0.1068,0.4684,1.0000,-1.8181, 0.0000, 0.3287
  8.000, 1.1858, 0.02599, 0.01794,-0.1021,0.4361,1.0000,-1.9681, 0.0000, 0.3173
  9.000, 1.2487, 0.02879, 0.02062,-0.0965,0.4047,1.0000,-2.1287, 0.0000, 0.3067
 10.000, 1.3041, 0.03211, 0.02390,-0.0906,0.3739,1.0000,-2.3004, 0.0000, 0.2970
 11.000, 1.3526, 0.03613, 0.02792,-0.0845,0.3438,1.0000,-2.4806, 0.0000, 0.2880
 12.000, 1.3927, 0.04102, 0.03284,-0.0785,0.3144,1.0000,-2.6659, 0.0000, 0.2799
 13.000, 1.4249, 0.04698, 0.03886,-0.0728,0.2860,1.0000,-2.8540, 0.0000, 0.2725
 14.000, 1.4485, 0.05412, 0.04610,-0.0676,0.2589,1.0000,-3.0394, 0.0000, 0.2658
 15.000, 1.4641, 0.06259, 0.05470,-0.0633,0.2333,1.0000,-3.2180, 0.0000, 0.2601


