xflr5 v6.49

 Calculated polar for: NACA 1817

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.103 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000,-0.1552, 0.01735, 0.00901,-0.0308,0.8659,0.5387,-0.8903, 0.0000, 0.0391
 -1.000,-0.0199, 0.01635, 0.00827,-0.0337,0.8231,0.6106,-0.7015, 0.0000,-1.4871
  0.000, 0.1168, 0.01569, 0.00768,-0.0364,0.7663,0.6804,-0.6265, 0.0000, 0.5598
  1.000, 0.2381, 0.01569, 0.00762,-0.0363,0.6950,0.7430,-0.7589, 0.0000, 0.3968
  2.000, 0.3470, 0.01609, 0.00784,-0.0338,0.6235,0.7997,-0.9093, 0.0000, 0.3405
  3.000, 0.4453, 0.01662, 0.00824,-0.0296,0.5530,0.8530,-1.0824, 0.0000, 0.3086
  4.000, 0.5452, 0.01730, 0.00877,-0.0260,0.4840,0.9040,-1.2942, 0.0000, 0.2889
  5.000, 0.6646, 0.01827, 0.00957,-0.0274,0.4124,0.9517,-1.5698, 0.0000, 0.2816
  6.000, 0.8016, 0.01968, 0.01075,-0.0337,0.3381,0.9943,-1.9232, 0.0000, 0.2816
  7.000, 0.8580, 0.02089, 0.01176,-0.0248,0.2833,1.0000,-2.1970, 0.0000, 0.2673
  8.000, 0.9223, 0.02273, 0.01345,-0.0175,0.2322,1.0000,-2.4994, 0.0000, 0.2561
  9.000, 0.9817, 0.02509, 0.01569,-0.0098,0.1893,1.0000,-2.8334, 0.0000, 0.2459
 10.000, 1.0326, 0.02823, 0.01875,-0.0021,0.1564,1.0000,-3.1659, 0.0000, 0.2365
 11.000, 1.0812, 0.03205, 0.02275, 0.0045,0.1309,1.0000,-3.4944, 0.0000, 0.2288
 12.000, 1.1177, 0.03707, 0.02794, 0.0105,0.1117,1.0000,-3.8194, 0.0000, 0.2219
 13.000, 1.1435, 0.04362, 0.03476, 0.0149,0.0977,1.0000,-4.1320, 0.0000, 0.2163
 14.000, 1.1598, 0.05184, 0.04317, 0.0174,0.0875,1.0000,-4.4101, 0.0000, 0.2124
 15.000, 1.1612, 0.06282, 0.05472, 0.0172,0.0787,1.0000,-4.6132, 0.0000, 0.2105


