xflr5 v6.49

 Calculated polar for: NACA 3824

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.0480, 0.01790, 0.00958,-0.0887,0.7375,0.4082,-1.0601, 0.0000, 2.1560
 -1.000, 0.1953, 0.01715, 0.00874,-0.0953,0.6922,0.4498,-0.8785, 0.0000, 0.7412
  0.000, 0.3218, 0.01707, 0.00857,-0.0980,0.6455,0.4911,-0.9642, 0.0000, 0.5504
  1.000, 0.4339, 0.01735, 0.00878,-0.0980,0.6009,0.5324,-1.0790, 0.0000, 0.4679
  2.000, 0.5380, 0.01788, 0.00925,-0.0964,0.5584,0.5737,-1.1996, 0.0000, 0.4189
  3.000, 0.6363, 0.01861, 0.00995,-0.0939,0.5184,0.6155,-1.3283, 0.0000, 0.3852
  4.000, 0.7281, 0.01954, 0.01092,-0.0900,0.4815,0.6583,-1.4652, 0.0000, 0.3597
  5.000, 0.8144, 0.02069, 0.01213,-0.0853,0.4469,0.6987,-1.6118, 0.0000, 0.3391
  6.000, 0.8948, 0.02204, 0.01350,-0.0797,0.4137,0.7347,-1.7682, 0.0000, 0.3219
  7.000, 0.9685, 0.02367, 0.01508,-0.0734,0.3815,0.7687,-1.9332, 0.0000, 0.3071
  8.000, 1.0372, 0.02552, 0.01695,-0.0670,0.3507,0.8022,-2.1084, 0.0000, 0.2942
  9.000, 1.1009, 0.02768, 0.01923,-0.0604,0.3225,0.8335,-2.2934, 0.0000, 0.2829
 10.000, 1.1572, 0.03027, 0.02192,-0.0535,0.2964,0.8632,-2.4834, 0.0000, 0.2725
 11.000, 1.2020, 0.03343, 0.02519,-0.0457,0.2721,0.8956,-2.6702, 0.0000, 0.2625
 12.000, 1.2307, 0.03737, 0.02922,-0.0372,0.2486,0.9517,-2.8413, 0.0000, 0.2527
 13.000, 1.2717, 0.04292, 0.03497,-0.0342,0.2267,1.0000,-3.0398, 0.0000, 0.2473
 14.000, 1.3050, 0.05011, 0.04233,-0.0320,0.2072,1.0000,-3.2270, 0.0000, 0.2428
 15.000, 1.3244, 0.05895, 0.05125,-0.0302,0.1893,1.0000,-3.4002, 0.0000, 0.2388


