xflr5 v6.49

 Calculated polar for: NACA 4922

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.1902, 0.01634, 0.00893,-0.1357,0.7731,0.3818,-0.9388, 0.0000, 0.9724
 -1.000, 0.3433, 0.01590, 0.00843,-0.1443,0.7202,0.4273,-0.8345, 0.0000, 0.6697
  0.000, 0.4787, 0.01600, 0.00841,-0.1491,0.6641,0.4715,-0.9524, 0.0000, 0.5572
  1.000, 0.6002, 0.01646, 0.00872,-0.1510,0.6103,0.5147,-1.0748, 0.0000, 0.4949
  2.000, 0.7110, 0.01714, 0.00936,-0.1507,0.5616,0.5579,-1.2040, 0.0000, 0.4535
  3.000, 0.8148, 0.01801, 0.01022,-0.1490,0.5157,0.6005,-1.3439, 0.0000, 0.4228
  4.000, 0.9117, 0.01907, 0.01127,-0.1460,0.4722,0.6406,-1.4957, 0.0000, 0.3985
  5.000, 1.0018, 0.02038, 0.01255,-0.1418,0.4310,0.6781,-1.6627, 0.0000, 0.3784
  6.000, 1.0728, 0.02184, 0.01408,-0.1336,0.3932,0.7127,-1.8316, 0.0000, 0.3599
  7.000, 1.1375, 0.02356, 0.01584,-0.1245,0.3574,0.7412,-2.0126, 0.0000, 0.3433
  8.000, 1.2091, 0.02579, 0.01804,-0.1182,0.3219,0.7687,-2.2213, 0.0000, 0.3300
  9.000, 1.2485, 0.02828, 0.02058,-0.1055,0.2908,0.7888,-2.4066, 0.0000, 0.3151
 10.000, 1.3019, 0.03169, 0.02400,-0.0978,0.2595,0.8106,-2.6244, 0.0000, 0.3039
 11.000, 1.3334, 0.03547, 0.02793,-0.0868,0.2335,0.8267,-2.8282, 0.0000, 0.2920
 12.000, 1.3791, 0.04059, 0.03318,-0.0813,0.2079,0.8440,-3.0611, 0.0000, 0.2840
 13.000, 1.3968, 0.04636, 0.03913,-0.0722,0.1875,0.8586,-3.2586, 0.0000, 0.2747
 14.000, 1.4246, 0.05438, 0.04731,-0.0691,0.1672,0.8711,-3.4740, 0.0000, 0.2694
 15.000, 1.4226, 0.06345, 0.05655,-0.0633,0.1503,0.8828,-3.6406, 0.0000, 0.2631


