xflr5 v6.49

 Calculated polar for: NACA 3915

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.0895, 0.01671, 0.00991,-0.1095,0.9098,0.4269,-0.7771, 0.0000, 1.4870
 -1.000, 0.2345, 0.01548, 0.00898,-0.1157,0.8741,0.5064,-0.5572, 0.0000, 0.7446
  0.000, 0.4131, 0.01360, 0.00729,-0.1282,0.8277,0.5855,-0.6723, 0.0000, 0.5583
  1.000, 0.6140, 0.01246, 0.00591,-0.1456,0.7298,0.6558,-0.8635, 0.0000, 0.4838
  2.000, 0.7282, 0.01328, 0.00638,-0.1450,0.6226,0.7077,-1.0451, 0.0000, 0.4446
  3.000, 0.8196, 0.01439, 0.00722,-0.1396,0.5269,0.7500,-1.2588, 0.0000, 0.4148
  4.000, 0.9038, 0.01569, 0.00825,-0.1330,0.4368,0.7849,-1.5159, 0.0000, 0.3905
  5.000, 0.9848, 0.01721, 0.00948,-0.1262,0.3502,0.8146,-1.8179, 0.0000, 0.3703
  6.000, 1.0611, 0.01894, 0.01096,-0.1187,0.2694,0.8398,-2.1577, 0.0000, 0.3528
  8.000, 1.2044, 0.02321, 0.01487,-0.1036,0.1452,0.8834,-2.9435, 0.0000, 0.3245
  9.000, 1.2673, 0.02568, 0.01734,-0.0952,0.1092,0.9021,-3.3741, 0.0000, 0.3123
 10.000, 1.3248, 0.02858, 0.02035,-0.0868,0.0857,0.9192,-3.8245, 0.0000, 0.3012
 11.000, 1.3727, 0.03213, 0.02410,-0.0779,0.0706,0.9345,-4.2753, 0.0000, 0.2909
 12.000, 1.4054, 0.03668, 0.02889,-0.0683,0.0607,0.9482,-4.6984, 0.0000, 0.2811
 13.000, 1.4309, 0.04271, 0.03529,-0.0607,0.0533,0.9607,-5.1133, 0.0000, 0.2732
 14.000, 1.4429, 0.05083, 0.04381,-0.0551,0.0480,0.9738,-5.4802, 0.0000, 0.2670
 15.000, 1.4451, 0.06185, 0.05524,-0.0534,0.0439,1.0000,-5.8005, 0.0000, 0.2637


