xflr5 v6.49

 Calculated polar for: NACA 2313

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000,-0.0066, 0.01197, 0.00465,-0.0454,0.8202,0.5078,-0.9097, 0.0000,-6.7413
 -1.000, 0.0957, 0.01118, 0.00441,-0.0414,0.7590,0.7337,-0.6270, 0.0000, 0.6852
  0.000, 0.2107, 0.01127, 0.00446,-0.0393,0.6865,0.8829,-0.6449, 0.0000, 0.4349
  1.000, 0.3575, 0.01186, 0.00455,-0.0449,0.6077,0.9682,-0.7712, 0.0000, 0.3726
  2.000, 0.5082, 0.01238, 0.00459,-0.0534,0.5332,1.0000,-0.9174, 0.0000, 0.3511
  3.000, 0.5974, 0.01302, 0.00488,-0.0494,0.4797,1.0000,-1.0478, 0.0000, 0.3277
  4.000, 0.6885, 0.01381, 0.00551,-0.0456,0.4359,1.0000,-1.2269, 0.0000, 0.3103
  5.000, 0.7798, 0.01479, 0.00633,-0.0418,0.3972,1.0000,-1.4886, 0.0000, 0.2967
  6.000, 0.8721, 0.01585, 0.00741,-0.0382,0.3580,1.0000,-1.8367, 0.0000, 0.2860
  7.000, 0.9624, 0.01701, 0.00863,-0.0346,0.3102,1.0000,-2.2528, 0.0000, 0.2769
  8.000, 1.0470, 0.01849, 0.01010,-0.0303,0.2492,1.0000,-2.7225, 0.0000, 0.2687
  9.000, 1.1200, 0.02082, 0.01226,-0.0249,0.1735,1.0000,-3.2101, 0.0000, 0.2607
 10.000, 1.1761, 0.02411, 0.01544,-0.0177,0.1141,1.0000,-3.7077, 0.0000, 0.2521
 11.000, 1.2120, 0.02822, 0.01961,-0.0088,0.0819,1.0000,-4.1600, 0.0000, 0.2428
 12.000, 1.2364, 0.03393, 0.02561,-0.0019,0.0644,1.0000,-4.5704, 0.0000, 0.2354
 13.000, 1.2479, 0.04205, 0.03411, 0.0021,0.0542,1.0000,-4.9362, 0.0000, 0.2303
 14.000, 1.2410, 0.05359, 0.04594, 0.0026,0.0466,1.0000,-5.2354, 0.0000, 0.2279
 15.000, 1.2381, 0.06595, 0.05887, 0.0011,0.0422,1.0000,-5.5218, 0.0000, 0.2270


