xflr5 v6.49

 Calculated polar for: Aerofoil1481

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.103 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4163, 0.02221, 0.01376,-0.1527,0.7664,0.0875,-1.4229, 0.0000, 0.6188
 -1.000, 0.5303, 0.01996, 0.01079,-0.1532,0.7383,0.1059,-1.1090, 0.0000, 0.5390
  0.000, 0.6430, 0.01887, 0.00919,-0.1527,0.7141,0.1297,-0.8168, 0.0000, 0.4863
  1.000, 0.7541, 0.01845, 0.00871,-0.1517,0.6894,0.1596,-0.8934, 0.0000, 0.4489
  2.000, 0.8515, 0.01853, 0.00896,-0.1484,0.6645,0.1982,-0.9947, 0.0000, 0.4208
  3.000, 0.9553, 0.01885, 0.00945,-0.1460,0.6418,0.2604,-1.1638, 0.0000, 0.3982
  4.000, 1.0610, 0.01886, 0.00988,-0.1439,0.6154,0.4217,-1.3658, 0.0000, 0.3799
  6.000, 1.2360, 0.01939, 0.01108,-0.1322,0.5325,1.0000,-1.8172, 0.0000, 0.3486
  7.000, 1.3106, 0.02032, 0.01206,-0.1243,0.4793,1.0000,-2.0598, 0.0000, 0.3351
  8.000, 1.3605, 0.02175, 0.01339,-0.1124,0.4010,1.0000,-2.4857, 0.0000, 0.3215
  9.000, 1.3746, 0.02490, 0.01606,-0.0963,0.3007,1.0000,-2.8478, 0.0000, 0.3075
 10.000, 1.3819, 0.02981, 0.02066,-0.0829,0.2326,1.0000,-3.1914, 0.0000, 0.2959
 11.000, 1.4018, 0.03535, 0.02626,-0.0737,0.1906,1.0000,-3.5784, 0.0000, 0.2868
 12.000, 1.4275, 0.04150, 0.03257,-0.0669,0.1626,1.0000,-3.9997, 0.0000, 0.2794
 13.000, 1.4473, 0.04881, 0.04008,-0.0618,0.1367,1.0000,-4.4272, 0.0000, 0.2734
 14.000, 1.4524, 0.05834, 0.04977,-0.0586,0.1111,1.0000,-4.8000, 0.0000, 0.2691
 15.000, 1.4588, 0.06915, 0.06100,-0.0576,0.0912,1.0000,-5.1632, 0.0000, 0.2662


