xflr5 v6.49

 Calculated polar for: Aerofoil1655

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4544, 0.01639, 0.00716,-0.1446,0.6471,0.0691,-1.5115, 0.0000, 0.5699
 -1.000, 0.5562, 0.01555, 0.00610,-0.1427,0.6276,0.1128,-0.9347, 0.0000, 0.5066
  0.000, 0.6602, 0.01527, 0.00583,-0.1416,0.6123,0.1963,-0.9689, 0.0000, 0.4629
  1.000, 0.7583, 0.01489, 0.00596,-0.1394,0.5944,0.4130,-1.0507, 0.0000, 0.4310
  3.000, 0.9729, 0.01524, 0.00692,-0.1382,0.5615,1.0000,-1.2756, 0.0000, 0.3869
  4.000, 1.0586, 0.01535, 0.00685,-0.1327,0.5188,1.0000,-1.4162, 0.0000, 0.3689
  5.000, 1.0854, 0.01663, 0.00695,-0.1161,0.3360,1.0000,-1.5162, 0.0000, 0.3491
  6.000, 1.0201, 0.02310, 0.01161,-0.0879,0.0246,1.0000,-1.5185, 0.0000, 0.3271
  7.000, 1.0585, 0.02619, 0.01495,-0.0785,0.0113,1.0000,-1.6249, 0.0000, 0.3137
  8.000, 1.0896, 0.03042, 0.01962,-0.0703,0.0107,1.0000,-1.7224, 0.0000, 0.3026
  9.000, 1.1118, 0.03624, 0.02594,-0.0634,0.0106,1.0000,-2.0221, 0.0000, 0.2935
 10.000, 1.1259, 0.04370, 0.03392,-0.0579,0.0104,1.0000,-2.3683, 0.0000, 0.2864
 11.000, 1.1282, 0.05336, 0.04414,-0.0541,0.0103,1.0000,-2.6620, 0.0000, 0.2812
 12.000, 1.1190, 0.06581, 0.05708,-0.0526,0.0107,1.0000,-2.9223, 0.0000, 0.2786
 13.000, 1.1188, 0.07820, 0.06974,-0.0523,0.0111,1.0000,-3.2088, 0.0000, 0.2766
 14.000, 1.1872, 0.08154, 0.07291,-0.0482,0.0125,1.0000,-3.8436, 0.0000, 0.2686
 15.000, 1.3069, 0.08207, 0.07370,-0.0434,0.0166,1.0000,-4.6121, 0.0000, 0.2592


