xflr5 v6.49

 Calculated polar for: Aerofoil1130

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.3286, 0.01442, 0.00624,-0.1173,0.7763,0.0689,-1.5797, 0.0000, 0.6087
 -1.000, 0.4373, 0.01336, 0.00483,-0.1160,0.7293,0.1131,-0.9752, 0.0000, 0.5151
  0.000, 0.5438, 0.01284, 0.00422,-0.1144,0.6802,0.1951,-0.8405, 0.0000, 0.4591
  1.000, 0.6473, 0.01240, 0.00404,-0.1125,0.6269,0.4027,-0.9827, 0.0000, 0.4214
  3.000, 0.8547, 0.01256, 0.00443,-0.1082,0.5147,1.0000,-1.3137, 0.0000, 0.3723
  4.000, 0.9415, 0.01405, 0.00507,-0.1035,0.3713,1.0000,-1.4800, 0.0000, 0.3545
  6.000, 1.0748, 0.02117, 0.01006,-0.0902,0.0111,1.0000,-1.7916, 0.0000, 0.3263
  7.000, 1.1481, 0.02368, 0.01307,-0.0841,0.0105,1.0000,-2.1834, 0.0000, 0.3144
  8.000, 1.1975, 0.02705, 0.01702,-0.0748,0.0105,1.0000,-2.7133, 0.0000, 0.3024
  9.000, 1.2193, 0.03194, 0.02254,-0.0640,0.0103,1.0000,-3.1491, 0.0000, 0.2911
 10.000, 1.2155, 0.03960, 0.03073,-0.0552,0.0105,1.0000,-3.4573, 0.0000, 0.2825
 11.000, 1.2078, 0.05011, 0.04160,-0.0510,0.0109,1.0000,-3.7531, 0.0000, 0.2778
 12.000, 1.2867, 0.05632, 0.04743,-0.0470,0.0121,1.0000,-4.4499, 0.0000, 0.2705
 13.000, 1.3160, 0.06499, 0.05693,-0.0449,0.0143,1.0000,-4.8657, 0.0000, 0.2662


