xflr5 v6.49

 Calculated polar for: NACA 2413

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.0078, 0.01242, 0.00480,-0.0542,0.8414,0.4566,-0.8356, 0.0000, 7.3150
 -1.000, 0.1119, 0.01145, 0.00450,-0.0512,0.7905,0.6692,-0.5836, 0.0000, 0.7101
  0.000, 0.2222, 0.01119, 0.00449,-0.0482,0.7342,0.8475,-0.5937, 0.0000, 0.4658
  1.000, 0.3602, 0.01151, 0.00453,-0.0519,0.6732,0.9506,-0.7124, 0.0000, 0.3912
  2.000, 0.5160, 0.01193, 0.00461,-0.0609,0.6084,1.0000,-0.8720, 0.0000, 0.3643
  3.000, 0.6073, 0.01248, 0.00489,-0.0570,0.5525,1.0000,-1.0357, 0.0000, 0.3391
  4.000, 0.6988, 0.01324, 0.00542,-0.0530,0.4979,1.0000,-1.2729, 0.0000, 0.3201
  5.000, 0.7897, 0.01416, 0.00619,-0.0488,0.4384,1.0000,-1.5841, 0.0000, 0.3052
  6.000, 0.8787, 0.01530, 0.00719,-0.0446,0.3668,1.0000,-1.9632, 0.0000, 0.2930
  7.000, 0.9616, 0.01694, 0.00857,-0.0397,0.2780,1.0000,-2.3920, 0.0000, 0.2825
  8.000, 1.0357, 0.01931, 0.01059,-0.0341,0.1872,1.0000,-2.8489, 0.0000, 0.2729
  9.000, 1.1001, 0.02228, 0.01335,-0.0276,0.1208,1.0000,-3.3377, 0.0000, 0.2637
 10.000, 1.1474, 0.02580, 0.01685,-0.0191,0.0854,1.0000,-3.7893, 0.0000, 0.2539
 11.000, 1.1867, 0.03017, 0.02142,-0.0114,0.0667,1.0000,-4.2652, 0.0000, 0.2454
 12.000, 1.2121, 0.03627, 0.02777,-0.0052,0.0549,1.0000,-4.6953, 0.0000, 0.2383
 13.000, 1.2363, 0.04349, 0.03544,-0.0014,0.0474,1.0000,-5.1135, 0.0000, 0.2334
 14.000, 1.2434, 0.05330, 0.04562, 0.0005,0.0422,1.0000,-5.4461, 0.0000, 0.2300
 15.000, 1.2457, 0.06471, 0.05753,-0.0002,0.0377,1.0000,-5.7872, 0.0000, 0.2285


