xflr5 v6.49

 Calculated polar for: Aerofoil1087

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.3472, 0.01542, 0.00654,-0.1209,0.6996,0.0655,-1.6677, 0.0000, 0.6006
 -1.000, 0.4568, 0.01450, 0.00545,-0.1203,0.6802,0.1055,-1.0616, 0.0000, 0.5139
  0.000, 0.5656, 0.01403, 0.00505,-0.1196,0.6603,0.1817,-0.7995, 0.0000, 0.4607
  1.000, 0.6724, 0.01372, 0.00518,-0.1188,0.6415,0.3650,-0.8706, 0.0000, 0.4247
  3.000, 0.8888, 0.01376, 0.00599,-0.1170,0.6064,1.0000,-1.0527, 0.0000, 0.3775
  4.000, 0.9943, 0.01449, 0.00669,-0.1158,0.5870,1.0000,-1.2407, 0.0000, 0.3612
  5.000, 1.0956, 0.01508, 0.00739,-0.1137,0.5566,1.0000,-1.4630, 0.0000, 0.3474
  6.000, 1.1941, 0.01568, 0.00812,-0.1111,0.5193,1.0000,-1.7241, 0.0000, 0.3353
  7.000, 1.2870, 0.01647, 0.00913,-0.1076,0.4744,1.0000,-2.3903, 0.0000, 0.3245
  8.000, 1.3629, 0.01779, 0.01056,-0.1015,0.3925,1.0000,-3.0595, 0.0000, 0.3140
  9.000, 1.3666, 0.02167, 0.01364,-0.0851,0.2452,1.0000,-3.4860, 0.0000, 0.3004
 10.000, 1.3597, 0.02721, 0.01887,-0.0715,0.1653,1.0000,-3.8758, 0.0000, 0.2891
 11.000, 1.3666, 0.03389, 0.02546,-0.0634,0.1117,1.0000,-4.3350, 0.0000, 0.2813
 12.000, 1.3713, 0.04237, 0.03378,-0.0580,0.0502,1.0000,-4.7551, 0.0000, 0.2754
 13.000, 1.3695, 0.05313, 0.04458,-0.0548,0.0259,1.0000,-5.0989, 0.0000, 0.2713
 14.000, 1.3714, 0.06512, 0.05711,-0.0542,0.0215,1.0000,-5.4543, 0.0000, 0.2688
 15.000, 1.3656, 0.07980, 0.07234,-0.0563,0.0192,1.0000,-5.7506, 0.0000, 0.2685


