xflr5 v6.49

 Calculated polar for: NACA 1823

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000,-0.0591, 0.01413, 0.00601,-0.0449,0.6736,0.4461,-1.0000, 0.0000,-0.5591
 -1.000, 0.0403, 0.01404, 0.00582,-0.0421,0.6235,0.4855,-0.8665, 0.0000, 1.3229
  0.000, 0.1380, 0.01405, 0.00582,-0.0389,0.5760,0.5277,-0.8620, 0.0000, 0.5285
  1.000, 0.2358, 0.01421, 0.00593,-0.0358,0.5323,0.5707,-0.9762, 0.0000, 0.3925
  2.000, 0.3319, 0.01445, 0.00623,-0.0324,0.4901,0.6163,-1.1023, 0.0000, 0.3355
  3.000, 0.4254, 0.01489, 0.00664,-0.0286,0.4506,0.6621,-1.2408, 0.0000, 0.3033
  4.000, 0.5174, 0.01541, 0.00727,-0.0245,0.4135,0.7096,-1.3938, 0.0000, 0.2821
  5.000, 0.6010, 0.01610, 0.00802,-0.0188,0.3779,0.7547,-1.5561, 0.0000, 0.2648
  6.000, 0.6802, 0.01705, 0.00895,-0.0128,0.3444,0.7992,-1.7312, 0.0000, 0.2510
  7.000, 0.7571, 0.01821, 0.01019,-0.0067,0.3134,0.8412,-1.9244, 0.0000, 0.2396
  8.000, 0.8286, 0.01954, 0.01161,-0.0000,0.2843,0.8852,-2.1286, 0.0000, 0.2295
  9.000, 0.8986, 0.02124, 0.01341, 0.0060,0.2566,0.9408,-2.3430, 0.0000, 0.2214
 10.000, 0.9820, 0.02352, 0.01568, 0.0070,0.2287,1.0000,-2.6000, 0.0000, 0.2196
 11.000, 1.0361, 0.02645, 0.01859, 0.0121,0.2063,1.0000,-2.8203, 0.0000, 0.2133
 12.000, 1.0850, 0.03033, 0.02248, 0.0165,0.1861,1.0000,-3.0565, 0.0000, 0.2080
 13.000, 1.1254, 0.03538, 0.02759, 0.0200,0.1683,1.0000,-3.2782, 0.0000, 0.2034
 14.000, 1.1557, 0.04191, 0.03422, 0.0225,0.1526,1.0000,-3.4806, 0.0000, 0.1996
 15.000, 1.1759, 0.05008, 0.04251, 0.0236,0.1390,1.0000,-3.6808, 0.0000, 0.1966


